"home.team" "home.ctry" "away.team" "away.ctry" "match" "tournament" "round"
"26" "Red Star Belgrade" "YUG" "Wolverhampton Wanderers" "Eng" "0-3" "CHAMPIONS CUP" "Round 1"
"27" "AC Milan" "Ita" "FC Barcelona" "Esp" "0-2" "CHAMPIONS CUP" "Round 1"
"28" "AC Milan" "Ita" "FC Barcelona" "Esp" "1-5" "CHAMPIONS CUP" "Round 1"
"29" "Glasgow Rangers" "Sco" "Red Star Bratislava" "TCH" "4-3" "CHAMPIONS CUP" "Round 1"
"30" "Glasgow Rangers" "Sco" "Red Star Bratislava" "TCH" "1-1" "CHAMPIONS CUP" "Round 1"
"31" "Sparta Rotterdam" "Ned" "IFK Göteborg" "Swe" "3-1" "CHAMPIONS CUP" "Round 1"
"32" "Sparta Rotterdam" "Ned" "IFK Göteborg" "Swe" "1-3" "CHAMPIONS CUP" "Round 1"
"33" "B1909 Odense" "Den" "Wiener Sportklub" "Aut" "0-3" "CHAMPIONS CUP" "Round 1"
"34" "B1909 Odense" "Den" "Wiener Sportklub" "Aut" "2-2" "CHAMPIONS CUP" "Round 1"
"35" "Young Boys" "Sui" "Eintracht Frankfurt" "Ger" "1-4" "CHAMPIONS CUP" "Round 1"
"36" "Young Boys" "Sui" "Eintracht Frankfurt" "Ger" "1-1" "CHAMPIONS CUP" "Round 1"
"37" "OGC Nice" "Fra" "Real Madrid" "Esp" "3-2" "CHAMPIONS CUP" "Quarter Finals"
"38" "OGC Nice" "Fra" "Real Madrid" "Esp" "0-4" "CHAMPIONS CUP" "Quarter Finals"
"39" "FC Barcelona" "Esp" "Wolverhampton Wanderers" "Eng" "4-0" "CHAMPIONS CUP" "Quarter Finals"
"40" "FC Barcelona" "Esp" "Wolverhampton Wanderers" "Eng" "5-2" "CHAMPIONS CUP" "Quarter Finals"
"41" "Sparta Rotterdam" "Ned" "Glasgow Rangers" "Sco" "2-3" "CHAMPIONS CUP" "Quarter Finals"
"42" "Sparta Rotterdam" "Ned" "Glasgow Rangers" "Sco" "1-0" "CHAMPIONS CUP" "Quarter Finals"
"43" "Eintracht Frankfurt" "Ger" "Wiener Sportklub" "Aut" "2-1" "CHAMPIONS CUP" "Quarter Finals"
"44" "Eintracht Frankfurt" "Ger" "Wiener Sportklub" "Aut" "1-1" "CHAMPIONS CUP" "Quarter Finals"
"45" "Real Madrid" "Esp" "FC Barcelona" "Esp" "3-1" "CHAMPIONS CUP" "Semi Finals"
"46" "Real Madrid" "Esp" "FC Barcelona" "Esp" "3-1" "CHAMPIONS CUP" "Semi Finals"
"47" "Eintracht Frankfurt" "Ger" "Glasgow Rangers" "Sco" "6-1" "CHAMPIONS CUP" "Semi Finals"
"48" "Eintracht Frankfurt" "Ger" "Glasgow Rangers" "Sco" "6-3" "CHAMPIONS CUP" "Semi Finals"
"49" "Real Madrid" "Esp" "Eintracht Frankfurt" "Ger" "7-3" "CHAMPIONS CUP" "Final"
"50" "Basel XI" "Sui" "FC Barcelona" "Esp" "1-2" "INTER-CITIES FAIRS CUP" "Round 1"
"51" "Basel XI" "Sui" "FC Barcelona" "Esp" "2-5" "INTER-CITIES FAIRS CUP" "Round 1"
"52" "Internazionale" "Ita" "Olympique Lyon" "Fra" "7-0" "INTER-CITIES FAIRS CUP" "Round 1"
"53" "Internazionale" "Ita" "Olympique Lyon" "Fra" "1-1" "INTER-CITIES FAIRS CUP" "Round 1"
"54" "København XI" "Den" "Chelsea" "Eng" "1-3" "INTER-CITIES FAIRS CUP" "Round 1"
"55" "København XI" "Den" "Chelsea" "Eng" "1-4" "INTER-CITIES FAIRS CUP" "Round 1"
"56" "Belgrade XI" "YUG" "Lausanne Sports" "Sui" "6-1" "INTER-CITIES FAIRS CUP" "Round 1"
"57" "Belgrade XI" "YUG" "Lausanne Sports" "Sui" "5-3" "INTER-CITIES FAIRS CUP" "Round 1"
"58" "Union Saint-Gilloise" "Bel" "Leipzig XI" "GDR" "6-1" "INTER-CITIES FAIRS CUP" "Round 1"
"59" "Union Saint-Gilloise" "Bel" "Leipzig XI" "GDR" "0-1" "INTER-CITIES FAIRS CUP" "Round 1"
"60" "Hannover 96" "Ger" "AS Roma" "Ita" "1-3" "INTER-CITIES FAIRS CUP" "Round 1"
"61" "Hannover 96" "Ger" "AS Roma" "Ita" "1-1" "INTER-CITIES FAIRS CUP" "Round 1"
"62" "Zagreb XI" "YUG" "Újpest Dózsa" "Hun" "4-2" "INTER-CITIES FAIRS CUP" "Round 1"
"63" "Zagreb XI" "YUG" "Újpest Dózsa" "Hun" "0-1" "INTER-CITIES FAIRS CUP" "Round 1"
"64" "Köln XI" "Ger" "Birmingham City" "Eng" "2-2" "INTER-CITIES FAIRS CUP" "Round 1"
"65" "Köln XI" "Ger" "Birmingham City" "Eng" "0-2" "INTER-CITIES FAIRS CUP" "Round 1"
"66" "FC Barcelona" "Esp" "Internazionale" "Ita" "4-0" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"67" "FC Barcelona" "Esp" "Internazionale" "Ita" "4-2" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"68" "Chelsea" "Eng" "Belgrade XI" "YUG" "1-0" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"69" "Chelsea" "Eng" "Belgrade XI" "YUG" "1-4" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"70" "Union Saint-Gilloise" "Bel" "AS Roma" "Ita" "2-0" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"71" "Union Saint-Gilloise" "Bel" "AS Roma" "Ita" "1-1" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"72" "Birmingham City" "Eng" "Zagreb XI" "YUG" "1-0" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"73" "Birmingham City" "Eng" "Zagreb XI" "YUG" "3-3" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"74" "Belgrade XI" "YUG" "FC Barcelona" "Esp" "1-1" "INTER-CITIES FAIRS CUP" "Semi Finals"
"75" "Belgrade XI" "YUG" "FC Barcelona" "Esp" "1-3" "INTER-CITIES FAIRS CUP" "Semi Finals"
"76" "Union Saint-Gilloise" "Bel" "Birmingham City" "Eng" "2-4" "INTER-CITIES FAIRS CUP" "Semi Finals"
"77" "Union Saint-Gilloise" "Bel" "Birmingham City" "Eng" "2-4" "INTER-CITIES FAIRS CUP" "Semi Finals"
"78" "Birmingham City" "Eng" "FC Barcelona" "Esp" "0-0" "INTER-CITIES FAIRS CUP" "Final"
"79" "Birmingham City" "Eng" "FC Barcelona" "Esp" "1-4" "INTER-CITIES FAIRS CUP" "Final"
