"home.team" "home.ctry" "away.team" "away.ctry" "match" "tournament" "round"
"1" "Jeunesse d'Esch" "Lux" "LKS Lodz" "Pol" "5-0" "CHAMPIONS CUP" "Qualifying Round"
"2" "Jeunesse d'Esch" "Lux" "LKS Lodz" "Pol" "1-2" "CHAMPIONS CUP" "Qualifying Round"
"3" "Fenerbah�e" "Tur" "Csepel Budapest" "Hun" "1-1" "CHAMPIONS CUP" "Qualifying Round"
"4" "Fenerbah�e" "Tur" "Csepel Budapest" "Hun" "3-2" "CHAMPIONS CUP" "Qualifying Round"
"5" "OGC Nice" "Fra" "Shamrock Rovers" "Irl" "3-2" "CHAMPIONS CUP" "Qualifying Round"
"6" "OGC Nice" "Fra" "Shamrock Rovers" "Irl" "1-1" "CHAMPIONS CUP" "Qualifying Round"
"7" "Vorwärts Berlin" "GDR" "Wolverhampton Wanderers" "Eng" "2-1" "CHAMPIONS CUP" "Qualifying Round"
"8" "Vorwärts Berlin" "GDR" "Wolverhampton Wanderers" "Eng" "0-2" "CHAMPIONS CUP" "Qualifying Round"
"9" "Olympiakos Piraeus" "Gre" "AC Milan" "Ita" "2-2" "CHAMPIONS CUP" "Qualifying Round"
"10" "Olympiakos Piraeus" "Gre" "AC Milan" "Ita" "1-3" "CHAMPIONS CUP" "Qualifying Round"
"11" "CDNA Sofia" "Bul" "FC Barcelona" "Esp" "2-2" "CHAMPIONS CUP" "Qualifying Round"
"12" "CDNA Sofia" "Bul" "FC Barcelona" "Esp" "2-6" "CHAMPIONS CUP" "Qualifying Round"
"13" "Glasgow Rangers" "Sco" "Anderlecht" "Bel" "5-2" "CHAMPIONS CUP" "Qualifying Round"
"14" "Glasgow Rangers" "Sco" "Anderlecht" "Bel" "2-0" "CHAMPIONS CUP" "Qualifying Round"
"15" "Red Star Bratislava" "TCH" "FC Porto" "Por" "2-1" "CHAMPIONS CUP" "Qualifying Round"
"16" "Red Star Bratislava" "TCH" "FC Porto" "Por" "2-0" "CHAMPIONS CUP" "Qualifying Round"
"17" "Linfield Belfast" "Nir" "IFK Göteborg" "Swe" "2-1" "CHAMPIONS CUP" "Qualifying Round"
"18" "Linfield Belfast" "Nir" "IFK Göteborg" "Swe" "1-6" "CHAMPIONS CUP" "Qualifying Round"
"19" "Wiener Sportklub" "Aut" "Petrolul Ploiesti" "Rom" "0-0" "CHAMPIONS CUP" "Qualifying Round"
"20" "Wiener Sportklub" "Aut" "Petrolul Ploiesti" "Rom" "2-1" "CHAMPIONS CUP" "Qualifying Round"
"21" "Real Madrid" "Esp" "Jeunesse d'Esch" "Lux" "7-0" "CHAMPIONS CUP" "Round 1"
"22" "Real Madrid" "Esp" "Jeunesse d'Esch" "Lux" "5-2" "CHAMPIONS CUP" "Round 1"
"23" "Fenerbahçe" "Tur" "OGC Nice" "Fra" "2-1" "CHAMPIONS CUP" "Round 1"
"24" "Fenerbahçe" "Tur" "OGC Nice" "Fra" "1-2" "CHAMPIONS CUP" "Round 1"
"25" "Red Star Belgrade" "YUG" "Wolverhampton Wanderers" "Eng" "1-1" "CHAMPIONS CUP" "Round 1"
