"home.team" "home.ctry" "away.team" "away.ctry" "match" "tournament" "round"
"1" "Servette FC Gen�ve" "Sui" "Real Madrid" "Esp" "0-2" "CHAMPIONS CUP" "Round 1"
"2" "Servette FC Gen�ve" "Sui" "Real Madrid" "Esp" "0-5" "CHAMPIONS CUP" "Round 1"
"3" "Sporting CP Lisbon" "Por" "Partizan Belgrade" "YUG" "3-3" "CHAMPIONS CUP" "Round 1"
"4" "Sporting CP Lisbon" "Por" "Partizan Belgrade" "YUG" "2-5" "CHAMPIONS CUP" "Round 1"
"5" "Rapid Wien" "Aut" "PSV Eindhoven" "Ned" "6-1" "CHAMPIONS CUP" "Round 1"
"6" "Rapid Wien" "Aut" "PSV Eindhoven" "Ned" "0-1" "CHAMPIONS CUP" "Round 1"
"7" "AC Milan" "Ita" "1.FC Saarbrücken" "Saa" "3-4" "CHAMPIONS CUP" "Round 1"
"8" "AC Milan" "Ita" "1.FC Saarbrücken" "Saa" "4-1" "CHAMPIONS CUP" "Round 1"
"9" "Rot-Weiß Essen" "Ger" "Hibernian" "Sco" "0-4" "CHAMPIONS CUP" "Round 1"
"10" "Rot-Weiß Essen" "Ger" "Hibernian" "Sco" "1-1" "CHAMPIONS CUP" "Round 1"
"11" "Djurgårdens IF" "Swe" "Gwardia Warsaw" "Pol" "0-0" "CHAMPIONS CUP" "Round 1"
"12" "Djurgårdens IF" "Swe" "Gwardia Warsaw" "Pol" "4-1" "CHAMPIONS CUP" "Round 1"
"13" "Vörös Lobogó Budapest" "Hun" "Anderlecht" "Bel" "6-3" "CHAMPIONS CUP" "Round 1"
"14" "Vörös Lobogó Budapest" "Hun" "Anderlecht" "Bel" "4-1" "CHAMPIONS CUP" "Round 1"
"15" "AGF Aarhus" "Den" "Stade de Reims" "Fra" "0-2" "CHAMPIONS CUP" "Round 1"
"16" "AGF Aarhus" "Den" "Stade de Reims" "Fra" "2-2" "CHAMPIONS CUP" "Round 1"
"17" "Real Madrid" "Esp" "Partizan Belgrade" "YUG" "4-0" "CHAMPIONS CUP" "Quarter Finals"
"18" "Real Madrid" "Esp" "Partizan Belgrade" "YUG" "0-3" "CHAMPIONS CUP" "Quarter Finals"
"19" "Rapid Wien" "Aut" "AC Milan" "Ita" "1-1" "CHAMPIONS CUP" "Quarter Finals"
"20" "Rapid Wien" "Aut" "AC Milan" "Ita" "2-7" "CHAMPIONS CUP" "Quarter Finals"
"21" "Djurgårdens IF" "Swe" "Hibernian" "Sco" "1-3" "CHAMPIONS CUP" "Quarter Finals"
"22" "Djurgårdens IF" "Swe" "Hibernian" "Sco" "0-1" "CHAMPIONS CUP" "Quarter Finals"
"23" "Stade de Reims" "Fra" "Vörös Lobogó Budapest" "Hun" "4-2" "CHAMPIONS CUP" "Quarter Finals"
"24" "Stade de Reims" "Fra" "Vörös Lobogó Budapest" "Hun" "4-4" "CHAMPIONS CUP" "Quarter Finals"
"25" "Real Madrid" "Esp" "AC Milan" "Ita" "4-2" "CHAMPIONS CUP" "Semi Finals"
"26" "Real Madrid" "Esp" "AC Milan" "Ita" "1-2" "CHAMPIONS CUP" "Semi Finals"
"27" "Stade de Reims" "Fra" "Hibernian" "Sco" "2-0" "CHAMPIONS CUP" "Semi Finals"
"28" "Stade de Reims" "Fra" "Hibernian" "Sco" "1-0" "CHAMPIONS CUP" "Semi Finals"
"29" "Real Madrid" "Esp" "Stade de Reims" "Fra" "4-3" "CHAMPIONS CUP" "Final"
