"","home.team","home.ctry","away.team","away.ctry","match","tournament","round",""
"1","Valencia","Esp","Union Luxembourg","Lux","3-1","CHAMPIONS CUP","Qualifying Round","1972"
"2","Valencia","Esp","Union Luxembourg","Lux","1-0","CHAMPIONS CUP","Qualifying Round","1972"
"3","Galatasaray","Tur","CSKA Moscow","URS","1-1","CHAMPIONS CUP","Round 1","1972"
"4","Galatasaray","Tur","CSKA Moscow","URS","0-3","CHAMPIONS CUP","Round 1","1972"
"5","Standard Li<e8>ge","Bel","Linfield Belfast","Nir","2-0","CHAMPIONS CUP","Round 1","1972"
"6","Standard Li<e8>ge","Bel","Linfield Belfast","Nir","3-2","CHAMPIONS CUP","Round 1","1972"
"7","B1903 København","Den","Celtic","Sco","2-1","CHAMPIONS CUP","Round 1","1972"
"8","B1903 København","Den","Celtic","Sco","0-3","CHAMPIONS CUP","Round 1","1972"
"9","Feyenoord","Ned","Olympiakos Nicosia","Cyp","8-0","CHAMPIONS CUP","Round 1","1972"
"10","Feyenoord","Ned","Olympiakos Nicosia","Cyp","9-0","CHAMPIONS CUP","Round 1","1972"
"11","Internazionale","Ita","AEK Athens","Gre","4-1","CHAMPIONS CUP","Round 1","1972"
"12","Internazionale","Ita","AEK Athens","Gre","2-3","CHAMPIONS CUP","Round 1","1972"
"13","Újpest Dózsa","Hun","Malmö FF","Swe","4-0","CHAMPIONS CUP","Round 1","1972"
"14","Újpest Dózsa","Hun","Malmö FF","Swe","0-1","CHAMPIONS CUP","Round 1","1972"
"15","Valencia","Esp","Hajduk Split","YUG","0-0","CHAMPIONS CUP","Round 1","1972"
"16","Valencia","Esp","Hajduk Split","YUG","1-1","CHAMPIONS CUP","Round 1","1972"
"17","Cork Hibernians","Irl","Borussia Mönchengladbach","Ger","0-5","CHAMPIONS CUP","Round 1","1972"
"18","Cork Hibernians","Irl","Borussia Mönchengladbach","Ger","1-2","CHAMPIONS CUP","Round 1","1972"
"19","Wacker Innsbruck","Aut","Benfica","Por","0-4","CHAMPIONS CUP","Round 1","1972"
"20","Wacker Innsbruck","Aut","Benfica","Por","1-3","CHAMPIONS CUP","Round 1","1972"
"21","Ajax","Ned","Dynamo Dresden","GDR","2-0","CHAMPIONS CUP","Round 1","1972"
"22","Ajax","Ned","Dynamo Dresden","GDR","0-0","CHAMPIONS CUP","Round 1","1972"
"23","Strømsgodset IF","Nor","Arsenal","Eng","1-3","CHAMPIONS CUP","Round 1","1972"
"24","Strømsgodset IF","Nor","Arsenal","Eng","0-4","CHAMPIONS CUP","Round 1","1972"
"25","Dinamo Bucuresti","Rom","Spartak Trnava","TCH","0-0","CHAMPIONS CUP","Round 1","1972"
"26","Dinamo Bucuresti","Rom","Spartak Trnava","TCH","2-2","CHAMPIONS CUP","Round 1","1972"
"27","Olympique Marseille","Fra","Górnik Zabrze","Pol","2-1","CHAMPIONS CUP","Round 1","1972"
"28","Olympique Marseille","Fra","Górnik Zabrze","Pol","1-1","CHAMPIONS CUP","Round 1","1972"
"29","CSKA Sofia","Bul","Partizani Tirana","Alb","3-0","CHAMPIONS CUP","Round 1","1972"
"30","CSKA Sofia","Bul","Partizani Tirana","Alb","1-0","CHAMPIONS CUP","Round 1","1972"
"31","Reipas Lahti","Fin","Grasshoppers Zürich","Sui","1-1","CHAMPIONS CUP","Round 1","1972"
"32","Reipas Lahti","Fin","Grasshoppers Zürich","Sui","0-8","CHAMPIONS CUP","Round 1","1972"
"33","IA Akranes","Isl","Sliema Wanderers","Mlt","0-4","CHAMPIONS CUP","Round 1","1972"
"34","IA Akranes","Isl","Sliema Wanderers","Mlt","0-0","CHAMPIONS CUP","Round 1","1972"
"35","CSKA Moscow","URS","Standard Liège","Bel","1-0","CHAMPIONS CUP","Round 2","1972"
"36","CSKA Moscow","URS","Standard Liège","Bel","0-2","CHAMPIONS CUP","Round 2","1972"
"37","Dinamo Bucuresti","Rom","Feyenoord","Ned","0-3","CHAMPIONS CUP","Round 2","1972"
"38","Dinamo Bucuresti","Rom","Feyenoord","Ned","0-2","CHAMPIONS CUP","Round 2","1972"
"39","Valencia","Esp","Újpest Dózsa","Hun","0-1","CHAMPIONS CUP","Round 2","1972"
"40","Valencia","Esp","Újpest Dózsa","Hun","1-2","CHAMPIONS CUP","Round 2","1972"
"41","Internazionale","Ita","Borussia Mönchengladbach","Ger","4-2","CHAMPIONS CUP","Round 2","1972"
"42","Internazionale","Ita","Borussia Mönchengladbach","Ger","0-0","CHAMPIONS CUP","Round 2","1972"
"43","Benfica","Por","CSKA Sofia","Bul","2-1","CHAMPIONS CUP","Round 2","1972"
"44","Benfica","Por","CSKA Sofia","Bul","0-0","CHAMPIONS CUP","Round 2","1972"
"45","Grasshoppers Zürich","Sui","Arsenal","Eng","0-2","CHAMPIONS CUP","Round 2","1972"
"46","Grasshoppers Zürich","Sui","Arsenal","Eng","0-3","CHAMPIONS CUP","Round 2","1972"
"47","Olympique Marseille","Fra","Ajax","Ned","1-2","CHAMPIONS CUP","Round 2","1972"
"48","Olympique Marseille","Fra","Ajax","Ned","1-4","CHAMPIONS CUP","Round 2","1972"
"49","Celtic","Sco","Sliema Wanderers","Mlt","5-0","CHAMPIONS CUP","Round 2","1972"
"50","Celtic","Sco","Sliema Wanderers","Mlt","2-1","CHAMPIONS CUP","Round 2","1972"
