"home.team" "home.ctry" "away.team" "away.ctry" "match" "tournament" "round"
"35" "Vorwärts Berlin" "GDR" "Glasgow Rangers" "Sco" "1-4" "CHAMPIONS CUP" "Round 1"
"36" "Standard Liège" "Bel" "Haka Valkeakoski" "Fin" "5-1" "CHAMPIONS CUP" "Round 1"
"37" "Standard Liège" "Bel" "Haka Valkeakoski" "Fin" "2-0" "CHAMPIONS CUP" "Round 1"
"38" "Partizan Belgrade" "YUG" "Juventus" "Ita" "1-2" "CHAMPIONS CUP" "Round 1"
"39" "Partizan Belgrade" "YUG" "Juventus" "Ita" "0-5" "CHAMPIONS CUP" "Round 1"
"40" "B1913 Odense" "Den" "Real Madrid" "Esp" "0-3" "CHAMPIONS CUP" "Round 1"
"41" "B1913 Odense" "Den" "Real Madrid" "Esp" "0-9" "CHAMPIONS CUP" "Round 1"
"42" "1.FC Nürnberg" "Ger" "Benfica" "Por" "3-1" "CHAMPIONS CUP" "Quarter Finals"
"43" "1.FC Nürnberg" "Ger" "Benfica" "Por" "0-6" "CHAMPIONS CUP" "Quarter Finals"
"44" "Dukla Praha" "TCH" "Tottenham Hotspur" "Eng" "1-0" "CHAMPIONS CUP" "Quarter Finals"
"45" "Dukla Praha" "TCH" "Tottenham Hotspur" "Eng" "1-4" "CHAMPIONS CUP" "Quarter Finals"
"46" "Standard Liège" "Bel" "Glasgow Rangers" "Sco" "4-1" "CHAMPIONS CUP" "Quarter Finals"
"47" "Standard Liège" "Bel" "Glasgow Rangers" "Sco" "0-2" "CHAMPIONS CUP" "Quarter Finals"
"48" "Juventus" "Ita" "Real Madrid" "Esp" "0-1" "CHAMPIONS CUP" "Quarter Finals"
"49" "Juventus" "Ita" "Real Madrid" "Esp" "1-0" "CHAMPIONS CUP" "Quarter Finals"
"50" "Real Madrid" "Esp" "Standard Liège" "Bel" "4-0" "CHAMPIONS CUP" "Semi Finals"
"51" "Real Madrid" "Esp" "Standard Liège" "Bel" "2-0" "CHAMPIONS CUP" "Semi Finals"
"52" "Benfica" "Por" "Tottenham Hotspur" "Eng" "3-1" "CHAMPIONS CUP" "Semi Finals"
"53" "Benfica" "Por" "Tottenham Hotspur" "Eng" "1-2" "CHAMPIONS CUP" "Semi Finals"
"54" "Benfica" "Por" "Real Madrid" "Esp" "5-3" "CHAMPIONS CUP" "Final"
"55" "CS Sedan" "Fra" "Atlético Madrid" "Esp" "2-3" "CUP WINNERS CUP" "Qualifying Round"
"56" "CS Sedan" "Fra" "Atlético Madrid" "Esp" "1-4" "CUP WINNERS CUP" "Qualifying Round"
"57" "Glenavon" "Nir" "Leicester City" "Eng" "1-4" "CUP WINNERS CUP" "Qualifying Round"
"58" "Glenavon" "Nir" "Leicester City" "Eng" "1-3" "CUP WINNERS CUP" "Qualifying Round"
"59" "La Chaux-de-Fonds" "Sui" "Leixões SC" "Por" "6-2" "CUP WINNERS CUP" "Qualifying Round"
"60" "La Chaux-de-Fonds" "Sui" "Leixões SC" "Por" "0-5" "CUP WINNERS CUP" "Qualifying Round"
"61" "Swansea City" "Wal" "Motor Jena" "GDR" "2-2" "CUP WINNERS CUP" "Qualifying Round"
"62" "Swansea City" "Wal" "Motor Jena" "GDR" "1-5" "CUP WINNERS CUP" "Qualifying Round"
"63" "Floriana" "Mlt" "Újpest Dózsa" "Hun" "2-5" "CUP WINNERS CUP" "Qualifying Round"
"64" "Floriana" "Mlt" "Újpest Dózsa" "Hun" "2-10" "CUP WINNERS CUP" "Qualifying Round"
"65" "Dunfermline Athletic" "Sco" "St. Patrick's Athletic" "Irl" "4-1" "CUP WINNERS CUP" "Qualifying Round"
"66" "Dunfermline Athletic" "Sco" "St. Patrick's Athletic" "Irl" "4-0" "CUP WINNERS CUP" "Qualifying Round"
"67" "Rapid Wien" "Aut" "Spartak Varna" "Bul" "0-0" "CUP WINNERS CUP" "Qualifying Round"
"68" "Rapid Wien" "Aut" "Spartak Varna" "Bul" "5-2" "CUP WINNERS CUP" "Qualifying Round"
"69" "Leicester City" "Eng" "Atlético Madrid" "Esp" "1-1" "CUP WINNERS CUP" "Round 1"
"70" "Leicester City" "Eng" "Atlético Madrid" "Esp" "0-2" "CUP WINNERS CUP" "Round 1"
"71" "Werder Bremen" "Ger" "AGF Aarhus" "Den" "2-0" "CUP WINNERS CUP" "Round 1"
"72" "Werder Bremen" "Ger" "AGF Aarhus" "Den" "3-2" "CUP WINNERS CUP" "Round 1"
"73" "Leixões SC" "Por" "Progresul Bucuresti" "Rom" "1-1" "CUP WINNERS CUP" "Round 1"
"74" "Leixões SC" "Por" "Progresul Bucuresti" "Rom" "1-0" "CUP WINNERS CUP" "Round 1"
"75" "Motor Jena" "GDR" "Alliance Dudelange" "Lux" "7-0" "CUP WINNERS CUP" "Round 1"
"76" "Motor Jena" "GDR" "Alliance Dudelange" "Lux" "2-2" "CUP WINNERS CUP" "Round 1"
"77" "Ajax" "Ned" "Újpest Dózsa" "Hun" "2-1" "CUP WINNERS CUP" "Round 1"
"78" "Ajax" "Ned" "Újpest Dózsa" "Hun" "1-3" "CUP WINNERS CUP" "Round 1"
"79" "Dunfermline Athletic" "Sco" "Vardar Skopje" "YUG" "5-0" "CUP WINNERS CUP" "Round 1"
"80" "Dunfermline Athletic" "Sco" "Vardar Skopje" "YUG" "0-2" "CUP WINNERS CUP" "Round 1"
"81" "Olympiakos Piraeus" "Gre" "Dynamo Zilina" "TCH" "2-3" "CUP WINNERS CUP" "Round 1"
"82" "Olympiakos Piraeus" "Gre" "Dynamo Zilina" "TCH" "0-1" "CUP WINNERS CUP" "Round 1"
"83" "Fiorentina" "Ita" "Rapid Wien" "Aut" "3-1" "CUP WINNERS CUP" "Round 1"
"84" "Fiorentina" "Ita" "Rapid Wien" "Aut" "6-2" "CUP WINNERS CUP" "Round 1"
"85" "Werder Bremen" "Ger" "Atlético Madrid" "Esp" "1-1" "CUP WINNERS CUP" "Quarter Finals"
"86" "Werder Bremen" "Ger" "Atlético Madrid" "Esp" "1-3" "CUP WINNERS CUP" "Quarter Finals"
"87" "Motor Jena" "GDR" "Leixões SC" "Por" "1-1" "CUP WINNERS CUP" "Quarter Finals"
"88" "Motor Jena" "GDR" "Leixões SC" "Por" "3-1" "CUP WINNERS CUP" "Quarter Finals"
"89" "Újpest Dózsa" "Hun" "Dunfermline Athletic" "Sco" "4-3" "CUP WINNERS CUP" "Quarter Finals"
"90" "Újpest Dózsa" "Hun" "Dunfermline Athletic" "Sco" "1-0" "CUP WINNERS CUP" "Quarter Finals"
"91" "Dynamo Zilina" "TCH" "Fiorentina" "Ita" "3-2" "CUP WINNERS CUP" "Quarter Finals"
"92" "Dynamo Zilina" "TCH" "Fiorentina" "Ita" "0-2" "CUP WINNERS CUP" "Quarter Finals"
"93" "Motor Jena" "GDR" "Atlético Madrid" "Esp" "0-1" "CUP WINNERS CUP" "Semi Finals"
"94" "Motor Jena" "GDR" "Atlético Madrid" "Esp" "0-4" "CUP WINNERS CUP" "Semi Finals"
"95" "Fiorentina" "Ita" "Újpest Dózsa" "Hun" "2-0" "CUP WINNERS CUP" "Semi Finals"
"96" "Fiorentina" "Ita" "Újpest Dózsa" "Hun" "1-0" "CUP WINNERS CUP" "Semi Finals"
"97" "Atlético Madrid" "Esp" "Fiorentina" "Ita" "1-1" "CUP WINNERS CUP" "Final"
"98" "Valencia" "Esp" "Nottingham Forest" "Eng" "2-0" "INTER-CITIES FAIRS CUP" "Round 1"
"99" "Valencia" "Esp" "Nottingham Forest" "Eng" "5-1" "INTER-CITIES FAIRS CUP" "Round 1"
"100" "Union Saint-Gilloise" "Bel" "Hearts FC" "Sco" "1-3" "INTER-CITIES FAIRS CUP" "Round 1"
"101" "Union Saint-Gilloise" "Bel" "Hearts FC" "Sco" "0-2" "INTER-CITIES FAIRS CUP" "Round 1"
"102" "1.FC Köln" "Ger" "Internazionale" "Ita" "4-2" "INTER-CITIES FAIRS CUP" "Round 1"
"103" "1.FC Köln" "Ger" "Internazionale" "Ita" "0-2" "INTER-CITIES FAIRS CUP" "Round 1"
"104" "AC Milan" "Ita" "Novi Sad XI" "YUG" "0-0" "INTER-CITIES FAIRS CUP" "Round 1"
"105" "AC Milan" "Ita" "Novi Sad XI" "YUG" "0-2" "INTER-CITIES FAIRS CUP" "Round 1"
"106" "Spartak KPS Brno" "TCH" "Leipzig XI" "GDR" "2-2" "INTER-CITIES FAIRS CUP" "Round 1"
"107" "Spartak KPS Brno" "TCH" "Leipzig XI" "GDR" "1-4" "INTER-CITIES FAIRS CUP" "Round 1"
"108" "RC Strasbourg" "Fra" "MTK Budapest" "Hun" "1-3" "INTER-CITIES FAIRS CUP" "Round 1"
"109" "RC Strasbourg" "Fra" "MTK Budapest" "Hun" "2-10" "INTER-CITIES FAIRS CUP" "Round 1"
"110" "Basel XI" "Sui" "Red Star Belgrade" "YUG" "1-1" "INTER-CITIES FAIRS CUP" "Round 1"
"111" "Basel XI" "Sui" "Red Star Belgrade" "YUG" "1-4" "INTER-CITIES FAIRS CUP" "Round 1"
"112" "Hibernian" "Sco" "CF Os Belenenses" "Por" "3-3" "INTER-CITIES FAIRS CUP" "Round 1"
"113" "Hibernian" "Sco" "CF Os Belenenses" "Por" "3-1" "INTER-CITIES FAIRS CUP" "Round 1"
"114" "Hannover 96" "Ger" "Espanyol" "Esp" "0-1" "INTER-CITIES FAIRS CUP" "Round 1"
"115" "Hannover 96" "Ger" "Espanyol" "Esp" "0-2" "INTER-CITIES FAIRS CUP" "Round 1"
"116" "Olympique Lyon" "Fra" "Sheffield Wednesday" "Eng" "4-2" "INTER-CITIES FAIRS CUP" "Round 1"
"117" "Olympique Lyon" "Fra" "Sheffield Wednesday" "Eng" "2-5" "INTER-CITIES FAIRS CUP" "Round 1"
"118" "København XI" "Den" "Dinamo Zagreb" "YUG" "2-7" "INTER-CITIES FAIRS CUP" "Round 1"
"119" "København XI" "Den" "Dinamo Zagreb" "YUG" "2-2" "INTER-CITIES FAIRS CUP" "Round 1"
"120" "West Berlin XI" "Ger" "FC Barcelona" "Esp" "1-0" "INTER-CITIES FAIRS CUP" "Round 1"
"121" "West Berlin XI" "Ger" "FC Barcelona" "Esp" "0-3" "INTER-CITIES FAIRS CUP" "Round 1"
"122" "Lausanne Sports" "Sui" "Valencia" "Esp" "3-4" "INTER-CITIES FAIRS CUP" "Round 2"
"123" "Hearts FC" "Sco" "Internazionale" "Ita" "0-1" "INTER-CITIES FAIRS CUP" "Round 2"
"124" "Hearts FC" "Sco" "Internazionale" "Ita" "0-4" "INTER-CITIES FAIRS CUP" "Round 2"
"125" "Iraklis Thessaloniki" "Gre" "Novi Sad XI" "YUG" "2-1" "INTER-CITIES FAIRS CUP" "Round 2"
"126" "Iraklis Thessaloniki" "Gre" "Novi Sad XI" "YUG" "1-9" "INTER-CITIES FAIRS CUP" "Round 2"
"127" "MTK Budapest" "Hun" "Leipzig XI" "GDR" "3-0" "INTER-CITIES FAIRS CUP" "Round 2"
"128" "MTK Budapest" "Hun" "Leipzig XI" "GDR" "0-3" "INTER-CITIES FAIRS CUP" "Round 2"
"129" "Red Star Belgrade" "YUG" "Hibernian" "Sco" "4-0" "INTER-CITIES FAIRS CUP" "Round 2"
"130" "Red Star Belgrade" "YUG" "Hibernian" "Sco" "1-0" "INTER-CITIES FAIRS CUP" "Round 2"
"131" "Espanyol" "Esp" "Birmingham City" "Eng" "5-2" "INTER-CITIES FAIRS CUP" "Round 2"
"132" "Espanyol" "Esp" "Birmingham City" "Eng" "0-1" "INTER-CITIES FAIRS CUP" "Round 2"
"133" "Sheffield Wednesday" "Eng" "AS Roma" "Ita" "4-0" "INTER-CITIES FAIRS CUP" "Round 2"
"134" "Sheffield Wednesday" "Eng" "AS Roma" "Ita" "0-1" "INTER-CITIES FAIRS CUP" "Round 2"
"135" "FC Barcelona" "Esp" "Dinamo Zagreb" "YUG" "5-1" "INTER-CITIES FAIRS CUP" "Round 2"
"136" "FC Barcelona" "Esp" "Dinamo Zagreb" "YUG" "2-2" "INTER-CITIES FAIRS CUP" "Round 2"
"137" "Valencia" "Esp" "Internazionale" "Ita" "2-0" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"138" "Valencia" "Esp" "Internazionale" "Ita" "3-3" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"139" "Novi Sad XI" "YUG" "MTK Budapest" "Hun" "1-4" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"140" "Novi Sad XI" "YUG" "MTK Budapest" "Hun" "1-2" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"141" "Espanyol" "Esp" "Red Star Belgrade" "YUG" "2-1" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"142" "Espanyol" "Esp" "Red Star Belgrade" "YUG" "0-5" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"143" "Sheffield Wednesday" "Eng" "FC Barcelona" "Esp" "3-2" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"144" "Sheffield Wednesday" "Eng" "FC Barcelona" "Esp" "0-2" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"145" "Valencia" "Esp" "MTK Budapest" "Hun" "3-0" "INTER-CITIES FAIRS CUP" "Semi Finals"
"146" "Valencia" "Esp" "MTK Budapest" "Hun" "7-3" "INTER-CITIES FAIRS CUP" "Semi Finals"
"147" "Red Star Belgrade" "YUG" "FC Barcelona" "Esp" "0-2" "INTER-CITIES FAIRS CUP" "Semi Finals"
"148" "Red Star Belgrade" "YUG" "FC Barcelona" "Esp" "1-4" "INTER-CITIES FAIRS CUP" "Semi Finals"
"149" "Valencia" "Esp" "FC Barcelona" "Esp" "6-2" "INTER-CITIES FAIRS CUP" "Final"
"150" "Valencia" "Esp" "FC Barcelona" "Esp" "1-1" "INTER-CITIES FAIRS CUP" "Final"
