"home.team" "home.ctry" "away.team" "away.ctry" "match" "tournament" "round"
"1" "CCA Bucuresti" "Rom" "Austria Wien" "Aut" "0-0" "CHAMPIONS CUP" "Qualifying Round"
"2" "CCA Bucuresti" "Rom" "Austria Wien" "Aut" "0-2" "CHAMPIONS CUP" "Qualifying Round"
"3" "1.FC N�rnberg" "Ger" "Drumcondra FC" "Irl" "5-0" "CHAMPIONS CUP" "Qualifying Round"
"4" "1.FC N�rnberg" "Ger" "Drumcondra FC" "Irl" "4-1" "CHAMPIONS CUP" "Qualifying Round"
"5" "Servette FC Genève" "Sui" "Hibernians FC" "Mlt" "5-0" "CHAMPIONS CUP" "Qualifying Round"
"6" "Servette FC Genève" "Sui" "Hibernians FC" "Mlt" "2-1" "CHAMPIONS CUP" "Qualifying Round"
"7" "CDNA Sofia" "Bul" "Dukla Praha" "TCH" "4-4" "CHAMPIONS CUP" "Qualifying Round"
"8" "CDNA Sofia" "Bul" "Dukla Praha" "TCH" "1-2" "CHAMPIONS CUP" "Qualifying Round"
"9" "IFK Göteborg" "Swe" "Feyenoord" "Ned" "0-3" "CHAMPIONS CUP" "Qualifying Round"
"10" "IFK Göteborg" "Swe" "Feyenoord" "Ned" "2-8" "CHAMPIONS CUP" "Qualifying Round"
"11" "Górnik Zabrze" "Pol" "Tottenham Hotspur" "Eng" "4-2" "CHAMPIONS CUP" "Qualifying Round"
"12" "Górnik Zabrze" "Pol" "Tottenham Hotspur" "Eng" "1-8" "CHAMPIONS CUP" "Qualifying Round"
"13" "Standard Liège" "Bel" "Fredrikstad FK" "Nor" "2-1" "CHAMPIONS CUP" "Qualifying Round"
"14" "Standard Liège" "Bel" "Fredrikstad FK" "Nor" "2-0" "CHAMPIONS CUP" "Qualifying Round"
"15" "Vorwärts Berlin" "GDR" "Linfield Belfast" "Nir" "3-0" "CHAMPIONS CUP" "Qualifying Round"
"16" "AS Monaco" "Fra" "Glasgow Rangers" "Sco" "2-3" "CHAMPIONS CUP" "Qualifying Round"
"17" "AS Monaco" "Fra" "Glasgow Rangers" "Sco" "2-3" "CHAMPIONS CUP" "Qualifying Round"
"18" "Sporting CP Lisbon" "Por" "Partizan Belgrade" "YUG" "1-1" "CHAMPIONS CUP" "Qualifying Round"
"19" "Sporting CP Lisbon" "Por" "Partizan Belgrade" "YUG" "0-2" "CHAMPIONS CUP" "Qualifying Round"
"20" "Panathinaikos" "Gre" "Juventus" "Ita" "1-1" "CHAMPIONS CUP" "Qualifying Round"
"21" "Panathinaikos" "Gre" "Juventus" "Ita" "1-2" "CHAMPIONS CUP" "Qualifying Round"
"22" "CA Spora Luxembourg" "Lux" "B1913 Odense" "Den" "0-6" "CHAMPIONS CUP" "Qualifying Round"
"23" "CA Spora Luxembourg" "Lux" "B1913 Odense" "Den" "2-9" "CHAMPIONS CUP" "Qualifying Round"
"24" "Vasas Budapest" "Hun" "Real Madrid" "Esp" "0-2" "CHAMPIONS CUP" "Qualifying Round"
"25" "Vasas Budapest" "Hun" "Real Madrid" "Esp" "1-3" "CHAMPIONS CUP" "Qualifying Round"
"26" "Austria Wien" "Aut" "Benfica" "Por" "1-1" "CHAMPIONS CUP" "Round 1"
"27" "Austria Wien" "Aut" "Benfica" "Por" "1-5" "CHAMPIONS CUP" "Round 1"
"28" "Fenerbahçe" "Tur" "1.FC Nürnberg" "Ger" "1-2" "CHAMPIONS CUP" "Round 1"
"29" "Fenerbahçe" "Tur" "1.FC Nürnberg" "Ger" "0-1" "CHAMPIONS CUP" "Round 1"
"30" "Servette FC Genève" "Sui" "Dukla Praha" "TCH" "4-3" "CHAMPIONS CUP" "Round 1"
"31" "Servette FC Genève" "Sui" "Dukla Praha" "TCH" "0-2" "CHAMPIONS CUP" "Round 1"
"32" "Feyenoord" "Ned" "Tottenham Hotspur" "Eng" "1-3" "CHAMPIONS CUP" "Round 1"
"33" "Feyenoord" "Ned" "Tottenham Hotspur" "Eng" "1-1" "CHAMPIONS CUP" "Round 1"
"34" "Vorwärts Berlin" "GDR" "Glasgow Rangers" "Sco" "1-2" "CHAMPIONS CUP" "Round 1"
