"","home.team","home.ctry","away.team","away.ctry","match","tournament","round",""
"1","IA Akranes","Isl","Trabzonspor","Tur","1-3","CHAMPIONS CUP","Round 1","1977"
"2","IA Akranes","Isl","Trabzonspor","Tur","2-3","CHAMPIONS CUP","Round 1","1977"
"3","Austria Wien","Aut","Borussia M�nchengladbach","Ger","1-0","CHAMPIONS CUP","Round 1","1977"
"4","Austria Wien","Aut","Borussia M�nchengladbach","Ger","0-3","CHAMPIONS CUP","Round 1","1977"
"5","Club Brugge","Bel","Steaua Bucuresti","Rom","2-1","CHAMPIONS CUP","Round 1","1977"
"6","Club Brugge","Bel","Steaua Bucuresti","Rom","1-1","CHAMPIONS CUP","Round 1","1977"
"7","CSKA Sofia","Bul","AS Saint-Étienne","Fra","0-0","CHAMPIONS CUP","Round 1","1977"
"8","CSKA Sofia","Bul","AS Saint-Étienne","Fra","0-1","CHAMPIONS CUP","Round 1","1977"
"9","Dynamo Dresden","GDR","Benfica","Por","2-0","CHAMPIONS CUP","Round 1","1977"
"10","Dynamo Dresden","GDR","Benfica","Por","0-0","CHAMPIONS CUP","Round 1","1977"
"11","Dundalk","Irl","PSV Eindhoven","Ned","1-1","CHAMPIONS CUP","Round 1","1977"
"12","Dundalk","Irl","PSV Eindhoven","Ned","0-6","CHAMPIONS CUP","Round 1","1977"
"13","Ferencváros","Hun","Jeunesse d'Esch","Lux","5-1","CHAMPIONS CUP","Round 1","1977"
"14","Ferencváros","Hun","Jeunesse d'Esch","Lux","6-2","CHAMPIONS CUP","Round 1","1977"
"15","Dinamo Kiev","URS","Partizan Belgrade","YUG","3-0","CHAMPIONS CUP","Round 1","1977"
"16","Dinamo Kiev","URS","Partizan Belgrade","YUG","2-0","CHAMPIONS CUP","Round 1","1977"
"17","Omonia Nicosia","Cyp","PAOK Thessaloniki","Gre","0-2","CHAMPIONS CUP","Round 1","1977"
"18","Omonia Nicosia","Cyp","PAOK Thessaloniki","Gre","1-1","CHAMPIONS CUP","Round 1","1977"
"19","Glasgow Rangers","Sco","FC Zürich","Sui","1-1","CHAMPIONS CUP","Round 1","1977"
"20","Glasgow Rangers","Sco","FC Zürich","Sui","0-1","CHAMPIONS CUP","Round 1","1977"
"21","Stal Mielec","Pol","Real Madrid","Esp","1-2","CHAMPIONS CUP","Round 1","1977"
"22","Stal Mielec","Pol","Real Madrid","Esp","0-1","CHAMPIONS CUP","Round 1","1977"
"23","Viking Stavanger","Nor","Baník Ostrava","TCH","2-1","CHAMPIONS CUP","Round 1","1977"
"24","Viking Stavanger","Nor","Baník Ostrava","TCH","0-2","CHAMPIONS CUP","Round 1","1977"
"25","Torino","Ita","Malmö FF","Swe","2-1","CHAMPIONS CUP","Round 1","1977"
"26","Torino","Ita","Malmö FF","Swe","1-1","CHAMPIONS CUP","Round 1","1977"
"27","Liverpool","Eng","Crusaders Belfast","Nir","2-0","CHAMPIONS CUP","Round 1","1977"
"28","Liverpool","Eng","Crusaders Belfast","Nir","5-0","CHAMPIONS CUP","Round 1","1977"
"29","Køge BK","Den","Bayern München","Ger","0-5","CHAMPIONS CUP","Round 1","1977"
"30","Køge BK","Den","Bayern München","Ger","1-2","CHAMPIONS CUP","Round 1","1977"
"31","Sliema Wanderers","Mlt","TPS Turku","Fin","2-1","CHAMPIONS CUP","Round 1","1977"
"32","Sliema Wanderers","Mlt","TPS Turku","Fin","0-1","CHAMPIONS CUP","Round 1","1977"
"33","Dinamo Kiev","URS","PAOK Thessaloniki","Gre","4-0","CHAMPIONS CUP","Round 2","1977"
"34","Dinamo Kiev","URS","PAOK Thessaloniki","Gre","2-0","CHAMPIONS CUP","Round 2","1977"
"35","Ferencváros","Hun","Dynamo Dresden","GDR","1-0","CHAMPIONS CUP","Round 2","1977"
"36","Ferencváros","Hun","Dynamo Dresden","GDR","0-4","CHAMPIONS CUP","Round 2","1977"
"37","Real Madrid","Esp","Club Brugge","Bel","0-0","CHAMPIONS CUP","Round 2","1977"
"38","Real Madrid","Esp","Club Brugge","Bel","0-2","CHAMPIONS CUP","Round 2","1977"
"39","AS Saint-Étienne","Fra","PSV Eindhoven","Ned","1-0","CHAMPIONS CUP","Round 2","1977"
"40","AS Saint-Étienne","Fra","PSV Eindhoven","Ned","0-0","CHAMPIONS CUP","Round 2","1977"
"41","Torino","Ita","Borussia Mönchengladbach","Ger","1-2","CHAMPIONS CUP","Round 2","1977"
"42","Torino","Ita","Borussia Mönchengladbach","Ger","0-0","CHAMPIONS CUP","Round 2","1977"
"43","Trabzonspor","Tur","Liverpool","Eng","1-0","CHAMPIONS CUP","Round 2","1977"
"44","Trabzonspor","Tur","Liverpool","Eng","0-3","CHAMPIONS CUP","Round 2","1977"
"45","FC Zürich","Sui","TPS Turku","Fin","2-0","CHAMPIONS CUP","Round 2","1977"
"46","FC Zürich","Sui","TPS Turku","Fin","1-0","CHAMPIONS CUP","Round 2","1977"
"47","Baník Ostrava","TCH","Bayern München","Ger","2-1","CHAMPIONS CUP","Round 2","1977"
"48","Baník Ostrava","TCH","Bayern München","Ger","0-5","CHAMPIONS CUP","Round 2","1977"
"49","Bayern München","Ger","Dinamo Kiev","URS","1-0","CHAMPIONS CUP","Quarter Finals","1977"
"50","Bayern München","Ger","Dinamo Kiev","URS","0-2","CHAMPIONS CUP","Quarter Finals","1977"
"51","Borussia Mönchengladbach","Ger","Club Brugge","Bel","2-2","CHAMPIONS CUP","Quarter Finals","1977"
"52","Borussia Mönchengladbach","Ger","Club Brugge","Bel","1-0","CHAMPIONS CUP","Quarter Finals","1977"
"53","AS Saint-Étienne","Fra","Liverpool","Eng","1-0","CHAMPIONS CUP","Quarter Finals","1977"
"54","AS Saint-Étienne","Fra","Liverpool","Eng","1-3","CHAMPIONS CUP","Quarter Finals","1977"
"55","FC Zürich","Sui","Dynamo Dresden","GDR","2-1","CHAMPIONS CUP","Quarter Finals","1977"
"56","FC Zürich","Sui","Dynamo Dresden","GDR","2-3","CHAMPIONS CUP","Quarter Finals","1977"
"57","Dinamo Kiev","URS","Borussia Mönchengladbach","Ger","1-0","CHAMPIONS CUP","Semi Finals","1977"
"58","Dinamo Kiev","URS","Borussia Mönchengladbach","Ger","0-2","CHAMPIONS CUP","Semi Finals","1977"
"59","FC Zürich","Sui","Liverpool","Eng","1-3","CHAMPIONS CUP","Semi Finals","1977"
"60","FC Zürich","Sui","Liverpool","Eng","0-3","CHAMPIONS CUP","Semi Finals","1977"
"61","Liverpool","Eng","Borussia Mönchengladbach","Ger","3-1","CHAMPIONS CUP","Final","1977"
"62","Cardiff City","Wal","Servette FC Genève","Sui","1-0","CUP WINNERS CUP","Qualifying Round","1977"
"63","Cardiff City","Wal","Servette FC Genève","Sui","1-2","CUP WINNERS CUP","Qualifying Round","1977"
"64","Lierse SK","Bel","Hajduk Split","YUG","1-0","CUP WINNERS CUP","Round 1","1977"
"65","Lierse SK","Bel","Hajduk Split","YUG","0-3","CUP WINNERS CUP","Round 1","1977"
"66","MTK Budapest","Hun","Sparta Praha","TCH","3-1","CUP WINNERS CUP","Round 1","1977"
"67","MTK Budapest","Hun","Sparta Praha","TCH","1-1","CUP WINNERS CUP","Round 1","1977"
"68","AIK Stockholm","Swe","Galatasaray","Tur","1-2","CUP WINNERS CUP","Round 1","1977"
"69","AIK Stockholm","Swe","Galatasaray","Tur","1-1","CUP WINNERS CUP","Round 1","1977"
"70","Anderlecht","Bel","Roda JC Kerkrade","Ned","2-1","CUP WINNERS CUP","Round 1","1977"
"71","Anderlecht","Bel","Roda JC Kerkrade","Ned","3-2","CUP WINNERS CUP","Round 1","1977"
