"","home.team","home.ctry","away.team","away.ctry","match","tournament","round",""
"1","Benfica","Por","Fenerbah�e","Tur","7-0","CHAMPIONS CUP","Round 1","1976"
"2","Benfica","Por","Fenerbah�e","Tur","0-1","CHAMPIONS CUP","Round 1","1976"
"3","Borussia Mönchengladbach","Ger","Wacker Innsbruck","Aut","1-1","CHAMPIONS CUP","Round 1","1976"
"4","Borussia Mönchengladbach","Ger","Wacker Innsbruck","Aut","6-1","CHAMPIONS CUP","Round 1","1976"
"5","KB København","Den","AS Saint-Étienne","Fra","0-2","CHAMPIONS CUP","Round 1","1976"
"6","KB København","Den","AS Saint-Étienne","Fra","1-3","CHAMPIONS CUP","Round 1","1976"
"7","CSKA Sofia","Bul","Juventus","Ita","2-1","CHAMPIONS CUP","Round 1","1976"
"8","CSKA Sofia","Bul","Juventus","Ita","0-2","CHAMPIONS CUP","Round 1","1976"
"9","Floriana","Mlt","Hajduk Split","YUG","0-5","CHAMPIONS CUP","Round 1","1976"
"10","Floriana","Mlt","Hajduk Split","YUG","0-3","CHAMPIONS CUP","Round 1","1976"
"11","Jeunesse d'Esch","Lux","Bayern München","Ger","0-5","CHAMPIONS CUP","Round 1","1976"
"12","Jeunesse d'Esch","Lux","Bayern München","Ger","1-3","CHAMPIONS CUP","Round 1","1976"
"13","Linfield Belfast","Nir","PSV Eindhoven","Ned","1-2","CHAMPIONS CUP","Round 1","1976"
"14","Linfield Belfast","Nir","PSV Eindhoven","Ned","0-8","CHAMPIONS CUP","Round 1","1976"
"15","Malmö FF","Swe","1.FC Magdeburg","GDR","2-1","CHAMPIONS CUP","Round 1","1976"
"16","Malmö FF","Swe","1.FC Magdeburg","GDR","1-2","CHAMPIONS CUP","Round 1","1976"
"17","Olympiakos Piraeus","Gre","Dinamo Kiev","URS","2-2","CHAMPIONS CUP","Round 1","1976"
"18","Olympiakos Piraeus","Gre","Dinamo Kiev","URS","0-1","CHAMPIONS CUP","Round 1","1976"
"19","Glasgow Rangers","Sco","Bohemians Dublin","Irl","4-1","CHAMPIONS CUP","Round 1","1976"
"20","Glasgow Rangers","Sco","Bohemians Dublin","Irl","1-1","CHAMPIONS CUP","Round 1","1976"
"21","Real Madrid","Esp","Dinamo Bucuresti","Rom","4-1","CHAMPIONS CUP","Round 1","1976"
"22","Real Madrid","Esp","Dinamo Bucuresti","Rom","0-1","CHAMPIONS CUP","Round 1","1976"
"23","Ruch Chorzow","Pol","KuPS Kuopio","Fin","5-0","CHAMPIONS CUP","Round 1","1976"
"24","Ruch Chorzow","Pol","KuPS Kuopio","Fin","2-2","CHAMPIONS CUP","Round 1","1976"
"25","Slovan Bratislava","TCH","Derby County","Eng","1-0","CHAMPIONS CUP","Round 1","1976"
"26","Slovan Bratislava","TCH","Derby County","Eng","0-3","CHAMPIONS CUP","Round 1","1976"
"27","Újpest Dózsa","Hun","FC Zürich","Sui","4-0","CHAMPIONS CUP","Round 1","1976"
"28","Újpest Dózsa","Hun","FC Zürich","Sui","1-5","CHAMPIONS CUP","Round 1","1976"
"29","RWD Molenbeek","Bel","Viking Stavanger","Nor","3-2","CHAMPIONS CUP","Round 1","1976"
"30","RWD Molenbeek","Bel","Viking Stavanger","Nor","1-0","CHAMPIONS CUP","Round 1","1976"
"31","Omonia Nicosia","Cyp","IA Akranes","Isl","2-1","CHAMPIONS CUP","Round 1","1976"
"32","Omonia Nicosia","Cyp","IA Akranes","Isl","0-4","CHAMPIONS CUP","Round 1","1976"
"33","Benfica","Por","Újpest Dózsa","Hun","5-2","CHAMPIONS CUP","Round 2","1976"
"34","Benfica","Por","Újpest Dózsa","Hun","1-3","CHAMPIONS CUP","Round 2","1976"
"35","Borussia Mönchengladbach","Ger","Juventus","Ita","2-0","CHAMPIONS CUP","Round 2","1976"
"36","Borussia Mönchengladbach","Ger","Juventus","Ita","2-2","CHAMPIONS CUP","Round 2","1976"
"37","Derby County","Eng","Real Madrid","Esp","4-1","CHAMPIONS CUP","Round 2","1976"
"38","Derby County","Eng","Real Madrid","Esp","1-5","CHAMPIONS CUP","Round 2","1976"
"39","Dinamo Kiev","URS","IA Akranes","Isl","3-0","CHAMPIONS CUP","Round 2","1976"
"40","Dinamo Kiev","URS","IA Akranes","Isl","2-0","CHAMPIONS CUP","Round 2","1976"
"41","Hajduk Split","YUG","RWD Molenbeek","Bel","4-0","CHAMPIONS CUP","Round 2","1976"
"42","Hajduk Split","YUG","RWD Molenbeek","Bel","3-2","CHAMPIONS CUP","Round 2","1976"
"43","Malmö FF","Swe","Bayern München","Ger","1-0","CHAMPIONS CUP","Round 2","1976"
"44","Malmö FF","Swe","Bayern München","Ger","0-2","CHAMPIONS CUP","Round 2","1976"
"45","Ruch Chorzow","Pol","PSV Eindhoven","Ned","1-3","CHAMPIONS CUP","Round 2","1976"
"46","Ruch Chorzow","Pol","PSV Eindhoven","Ned","0-4","CHAMPIONS CUP","Round 2","1976"
"47","AS Saint-Étienne","Fra","Glasgow Rangers","Sco","2-0","CHAMPIONS CUP","Round 2","1976"
"48","AS Saint-Étienne","Fra","Glasgow Rangers","Sco","2-1","CHAMPIONS CUP","Round 2","1976"
"49","Benfica","Por","Bayern München","Ger","0-0","CHAMPIONS CUP","Quarter Finals","1976"
"50","Benfica","Por","Bayern München","Ger","1-5","CHAMPIONS CUP","Quarter Finals","1976"
"51","Borussia Mönchengladbach","Ger","Real Madrid","Esp","2-2","CHAMPIONS CUP","Quarter Finals","1976"
"52","Borussia Mönchengladbach","Ger","Real Madrid","Esp","1-1","CHAMPIONS CUP","Quarter Finals","1976"
"53","Dinamo Kiev","URS","AS Saint-Étienne","Fra","2-0","CHAMPIONS CUP","Quarter Finals","1976"
"54","Dinamo Kiev","URS","AS Saint-Étienne","Fra","0-3","CHAMPIONS CUP","Quarter Finals","1976"
"55","Hajduk Split","YUG","PSV Eindhoven","Ned","2-0","CHAMPIONS CUP","Quarter Finals","1976"
"56","Hajduk Split","YUG","PSV Eindhoven","Ned","0-3","CHAMPIONS CUP","Quarter Finals","1976"
"57","Real Madrid","Esp","Bayern München","Ger","1-1","CHAMPIONS CUP","Semi Finals","1976"
"58","Real Madrid","Esp","Bayern München","Ger","0-2","CHAMPIONS CUP","Semi Finals","1976"
"59","AS Saint-Étienne","Fra","PSV Eindhoven","Ned","1-0","CHAMPIONS CUP","Semi Finals","1976"
"60","AS Saint-Étienne","Fra","PSV Eindhoven","Ned","0-0","CHAMPIONS CUP","Semi Finals","1976"
"61","Bayern München","Ger","AS Saint-Étienne","Fra","1-0","CHAMPIONS CUP","Final","1976"
"62","Ararat Yerevan","URS","Anorthosis Famagusta","Cyp","9-0","CUP WINNERS CUP","Round 1","1976"
"63","Ararat Yerevan","URS","Anorthosis Famagusta","Cyp","1-1","CUP WINNERS CUP","Round 1","1976"
"64","FC Basel","Sui","Atlético Madrid","Esp","1-2","CUP WINNERS CUP","Round 1","1976"
"65","FC Basel","Sui","Atlético Madrid","Esp","1-1","CUP WINNERS CUP","Round 1","1976"
"66","Besiktas","Tur","Fiorentina","Ita","0-3","CUP WINNERS CUP","Round 1","1976"
"67","Besiktas","Tur","Fiorentina","Ita","0-3","CUP WINNERS CUP","Round 1","1976"
"68","FK Borac Banja Luka","YUG","US Rumelange","Lux","9-0","CUP WINNERS CUP","Round 1","1976"
"69","FK Borac Banja Luka","YUG","US Rumelange","Lux","5-1","CUP WINNERS CUP","Round 1","1976"
"70","Eintracht Frankfurt","Ger","Coleraine","Nir","5-1","CUP WINNERS CUP","Round 1","1976"
"71","Eintracht Frankfurt","Ger","Coleraine","Nir","6-2","CUP WINNERS CUP","Round 1","1976"
"72","Haladás Szombathely","Hun","Valletta FC","Mlt","7-0","CUP WINNERS CUP","Round 1","1976"
"73","Haladás Szombathely","Hun","Valletta FC","Mlt","1-1","CUP WINNERS CUP","Round 1","1976"
"74","Home Farm FC","Irl","RC Lens","Fra","1-1","CUP WINNERS CUP","Round 1","1976"
"75","Home Farm FC","Irl","RC Lens","Fra","0-6","CUP WINNERS CUP","Round 1","1976"
"76","Reipas Lahti","Fin","West Ham United","Eng","2-2","CUP WINNERS CUP","Round 1","1976"
"77","Reipas Lahti","Fin","West Ham United","Eng","0-3","CUP WINNERS CUP","Round 1","1976"
"78","Panathinaikos","Gre","Sachsenring Zwickau","GDR","0-0","CUP WINNERS CUP","Round 1","1976"
"79","Panathinaikos","Gre","Sachsenring Zwickau","GDR","0-2","CUP WINNERS CUP","Round 1","1976"
"80","Rapid Bucuresti","Rom","Anderlecht","Bel","1-0","CUP WINNERS CUP","Round 1","1976"
"81","Rapid Bucuresti","Rom","Anderlecht","Bel","0-2","CUP WINNERS CUP","Round 1","1976"
"82","Spartak Trnava","TCH","Boavista","Por","0-0","CUP WINNERS CUP","Round 1","1976"
"83","Spartak Trnava","TCH","Boavista","Por","0-3","CUP WINNERS CUP","Round 1","1976"
"84","Skeid Oslo","Nor","Stal Rzeszów","Pol","1-4","CUP WINNERS CUP","Round 1","1976"
"85","Skeid Oslo","Nor","Stal Rzeszów","Pol","0-4","CUP WINNERS CUP","Round 1","1976"
