"","home.team","home.ctry","away.team","away.ctry","match","tournament","round","V8"
"1","Everton","Eng","Internazionale","Ita","0-0","CHAMPIONS CUP","Round 1",1964
"2","Everton","Eng","Internazionale","Ita","0-1","CHAMPIONS CUP","Round 1",1964
"3","AS Monaco","Fra","AEK Athens","Gre","7-2","CHAMPIONS CUP","Round 1",1964
"4","AS Monaco","Fra","AEK Athens","Gre","1-1","CHAMPIONS CUP","Round 1",1964
"5","Haka Valkeakoski","Fin","Jeunesse d'Esch","Lux","4-1","CHAMPIONS CUP","Round 1",1964
"6","Haka Valkeakoski","Fin","Jeunesse d'Esch","Lux","0-4","CHAMPIONS CUP","Round 1",1964
"7","Partizan Belgrade","YUG","Anorthosis Famagusta","Cyp","3-0","CHAMPIONS CUP","Round 1",1964
"8","Partizan Belgrade","YUG","Anorthosis Famagusta","Cyp","3-1","CHAMPIONS CUP","Round 1",1964
"9","G�rnik Zabrze","Pol","Austria Wien","Aut","1-0","CHAMPIONS CUP","Round 1",1964
"10","G�rnik Zabrze","Pol","Austria Wien","Aut","0-1","CHAMPIONS CUP","Round 1",1964
"11","Dukla Praha","TCH","Valletta FC","Mlt","6-0","CHAMPIONS CUP","Round 1",1964
"12","Dukla Praha","TCH","Valletta FC","Mlt","2-0","CHAMPIONS CUP","Round 1",1964
"13","Distillery Belfast","Nir","Benfica","Por","3-3","CHAMPIONS CUP","Round 1",1964
"14","Distillery Belfast","Nir","Benfica","Por","0-5","CHAMPIONS CUP","Round 1",1964
"15","Lyn Oslo","Nor","Borussia Dortmund","Ger","2-4","CHAMPIONS CUP","Round 1",1964
"16","Lyn Oslo","Nor","Borussia Dortmund","Ger","1-3","CHAMPIONS CUP","Round 1",1964
"17","Dundalk","Irl","FC Zürich","Sui","0-3","CHAMPIONS CUP","Round 1",1964
"18","Dundalk","Irl","FC Zürich","Sui","2-1","CHAMPIONS CUP","Round 1",1964
"19","Galatasaray","Tur","Ferencváros","Hun","4-0","CHAMPIONS CUP","Round 1",1964
"20","Galatasaray","Tur","Ferencváros","Hun","0-2","CHAMPIONS CUP","Round 1",1964
"21","Partizani Tirana","Alb","Spartak Plovdiv","Bul","1-0","CHAMPIONS CUP","Round 1",1964
"22","Partizani Tirana","Alb","Spartak Plovdiv","Bul","1-3","CHAMPIONS CUP","Round 1",1964
"23","Esbjerg fB","Den","PSV Eindhoven","Ned","3-4","CHAMPIONS CUP","Round 1",1964
"24","Esbjerg fB","Den","PSV Eindhoven","Ned","1-7","CHAMPIONS CUP","Round 1",1964
"25","Standard Liège","Bel","IFK Norrköping","Swe","1-0","CHAMPIONS CUP","Round 1",1964
