"","home.team","home.ctry","away.team","away.ctry","match","tournament","round",""
"1","FC Basel","Sui","Wacker Innsbruck","Aut","1-3","CHAMPIONS CUP","Round 1","1978"
"2","FC Basel","Sui","Wacker Innsbruck","Aut","1-0","CHAMPIONS CUP","Round 1","1978"
"3","Celtic","Sco","Jeunesse d'Esch","Lux","5-0","CHAMPIONS CUP","Round 1","1978"
"4","Celtic","Sco","Jeunesse d'Esch","Lux","6-1","CHAMPIONS CUP","Round 1","1978"
"5","Benfica","Por","Torpedo Moscow","URS","0-0","CHAMPIONS CUP","Round 1","1978"
"6","Benfica","Por","Torpedo Moscow","URS","0-0","CHAMPIONS CUP","Round 1","1978"
"7","Dynamo Dresden","GDR","Halmstads BK","Swe","2-0","CHAMPIONS CUP","Round 1","1978"
"8","Dynamo Dresden","GDR","Halmstads BK","Swe","1-2","CHAMPIONS CUP","Round 1","1978"
"9","Dukla Praha","TCH","FC Nantes","Fra","1-1","CHAMPIONS CUP","Round 1","1978"
"10","Dukla Praha","TCH","FC Nantes","Fra","0-0","CHAMPIONS CUP","Round 1","1978"
"11","Floriana","Mlt","Panathinaikos","Gre","1-1","CHAMPIONS CUP","Round 1","1978"
"12","Floriana","Mlt","Panathinaikos","Gre","0-4","CHAMPIONS CUP","Round 1","1978"
"13","KuPS Kuopio","Fin","Club Brugge","Bel","0-4","CHAMPIONS CUP","Round 1","1978"
"14","KuPS Kuopio","Fin","Club Brugge","Bel","2-5","CHAMPIONS CUP","Round 1","1978"
"15","Levski-Spartak Sofia","Bul","Slask Wroclaw","Pol","3-0","CHAMPIONS CUP","Round 1","1978"
"16","Levski-Spartak Sofia","Bul","Slask Wroclaw","Pol","2-2","CHAMPIONS CUP","Round 1","1978"
"17","Lillestr�m SK","Nor","Ajax","Ned","2-0","CHAMPIONS CUP","Round 1","1978"
"18","Lillestr�m SK","Nor","Ajax","Ned","0-4","CHAMPIONS CUP","Round 1","1978"
"19","Omonia Nicosia","Cyp","Juventus","Ita","0-3","CHAMPIONS CUP","Round 1","1978"
"20","Omonia Nicosia","Cyp","Juventus","Ita","0-2","CHAMPIONS CUP","Round 1","1978"
"21","Red Star Belgrade","YUG","Sligo Rovers","Irl","3-0","CHAMPIONS CUP","Round 1","1978"
"22","Red Star Belgrade","YUG","Sligo Rovers","Irl","3-0","CHAMPIONS CUP","Round 1","1978"
"23","Trabzonspor","Tur","B1903 København","Den","1-0","CHAMPIONS CUP","Round 1","1978"
"24","Trabzonspor","Tur","B1903 København","Den","0-2","CHAMPIONS CUP","Round 1","1978"
"25","Vasas Budapest","Hun","Borussia Mönchengladbach","Ger","0-3","CHAMPIONS CUP","Round 1","1978"
"26","Vasas Budapest","Hun","Borussia Mönchengladbach","Ger","1-1","CHAMPIONS CUP","Round 1","1978"
"27","Valur Reykjavik","Isl","Glentoran","Nir","1-0","CHAMPIONS CUP","Round 1","1978"
"28","Valur Reykjavik","Isl","Glentoran","Nir","0-2","CHAMPIONS CUP","Round 1","1978"
"29","Dinamo Bucuresti","Rom","Atlético Madrid","Esp","2-1","CHAMPIONS CUP","Round 1","1978"
"30","Dinamo Bucuresti","Rom","Atlético Madrid","Esp","0-2","CHAMPIONS CUP","Round 1","1978"
"31","Benfica","Por","B1903 København","Den","1-0","CHAMPIONS CUP","Round 2","1978"
"32","Benfica","Por","B1903 København","Den","1-0","CHAMPIONS CUP","Round 2","1978"
"33","Club Brugge","Bel","Panathinaikos","Gre","2-0","CHAMPIONS CUP","Round 2","1978"
"34","Club Brugge","Bel","Panathinaikos","Gre","0-1","CHAMPIONS CUP","Round 2","1978"
"35","Celtic","Sco","Wacker Innsbruck","Aut","2-1","CHAMPIONS CUP","Round 2","1978"
"36","Celtic","Sco","Wacker Innsbruck","Aut","0-3","CHAMPIONS CUP","Round 2","1978"
"37","Glentoran","Nir","Juventus","Ita","0-1","CHAMPIONS CUP","Round 2","1978"
"38","Glentoran","Nir","Juventus","Ita","0-5","CHAMPIONS CUP","Round 2","1978"
"39","Levski-Spartak Sofia","Bul","Ajax","Ned","1-2","CHAMPIONS CUP","Round 2","1978"
"40","Levski-Spartak Sofia","Bul","Ajax","Ned","1-2","CHAMPIONS CUP","Round 2","1978"
"41","Liverpool","Eng","Dynamo Dresden","GDR","5-1","CHAMPIONS CUP","Round 2","1978"
"42","Liverpool","Eng","Dynamo Dresden","GDR","1-2","CHAMPIONS CUP","Round 2","1978"
"43","FC Nantes","Fra","Atlético Madrid","Esp","1-1","CHAMPIONS CUP","Round 2","1978"
"44","FC Nantes","Fra","Atlético Madrid","Esp","1-2","CHAMPIONS CUP","Round 2","1978"
"45","Red Star Belgrade","YUG","Borussia Mönchengladbach","Ger","0-3","CHAMPIONS CUP","Round 2","1978"
"46","Red Star Belgrade","YUG","Borussia Mönchengladbach","Ger","1-5","CHAMPIONS CUP","Round 2","1978"
"47","Benfica","Por","Liverpool","Eng","1-2","CHAMPIONS CUP","Quarter Finals","1978"
"48","Benfica","Por","Liverpool","Eng","1-4","CHAMPIONS CUP","Quarter Finals","1978"
"49","Ajax","Ned","Juventus","Ita","1-1","CHAMPIONS CUP","Quarter Finals","1978"
"50","Ajax","Ned","Juventus","Ita","1-1","CHAMPIONS CUP","Quarter Finals","1978"
"51","Club Brugge","Bel","Atlético Madrid","Esp","2-0","CHAMPIONS CUP","Quarter Finals","1978"
"52","Club Brugge","Bel","Atlético Madrid","Esp","2-3","CHAMPIONS CUP","Quarter Finals","1978"
"53","Wacker Innsbruck","Aut","Borussia Mönchengladbach","Ger","3-1","CHAMPIONS CUP","Quarter Finals","1978"
"54","Wacker Innsbruck","Aut","Borussia Mönchengladbach","Ger","0-2","CHAMPIONS CUP","Quarter Finals","1978"
"55","Borussia Mönchengladbach","Ger","Liverpool","Eng","2-1","CHAMPIONS CUP","Semi Finals","1978"
"56","Borussia Mönchengladbach","Ger","Liverpool","Eng","0-3","CHAMPIONS CUP","Semi Finals","1978"
"57","Juventus","Ita","Club Brugge","Bel","1-0","CHAMPIONS CUP","Semi Finals","1978"
"58","Juventus","Ita","Club Brugge","Bel","0-2","CHAMPIONS CUP","Semi Finals","1978"
"59","Liverpool","Eng","Club Brugge","Bel","1-0","CHAMPIONS CUP","Final","1978"
"60","Glasgow Rangers","Sco","Young Boys","Sui","1-0","CUP WINNERS CUP","Qualifying Round","1978"
"61","Glasgow Rangers","Sco","Young Boys","Sui","2-2","CUP WINNERS CUP","Qualifying Round","1978"
"62","Lokomotiv Sofia","Bul","Anderlecht","Bel","1-6","CUP WINNERS CUP","Round 1","1978"
"63","Lokomotiv Sofia","Bul","Anderlecht","Bel","0-2","CUP WINNERS CUP","Round 1","1978"
"64","Besiktas","Tur","Diósgyöri Miskolc","Hun","2-0","CUP WINNERS CUP","Round 1","1978"
"65","Besiktas","Tur","Diósgyöri Miskolc","Hun","0-5","CUP WINNERS CUP","Round 1","1978"
"66","Real Betis","Esp","AC Milan","Ita","2-0","CUP WINNERS CUP","Round 1","1978"
"67","Real Betis","Esp","AC Milan","Ita","1-2","CUP WINNERS CUP","Round 1","1978"
"68","SK Brann Bergen","Nor","IA Akranes","Isl","1-0","CUP WINNERS CUP","Round 1","1978"
"69","SK Brann Bergen","Nor","IA Akranes","Isl","4-0","CUP WINNERS CUP","Round 1","1978"
"70","Cardiff City","Wal","Austria Wien","Aut","0-0","CUP WINNERS CUP","Round 1","1978"
"71","Cardiff City","Wal","Austria Wien","Aut","0-1","CUP WINNERS CUP","Round 1","1978"
"72","Coleraine","Nir","Lokomotive Leipzig","GDR","1-4","CUP WINNERS CUP","Round 1","1978"
"73","Coleraine","Nir","Lokomotive Leipzig","GDR","2-2","CUP WINNERS CUP","Round 1","1978"
"74","Dundalk","Irl","Hajduk Split","YUG","1-0","CUP WINNERS CUP","Round 1","1978"
"75","Dundalk","Irl","Hajduk Split","YUG","0-4","CUP WINNERS CUP","Round 1","1978"
"76","Hamburger SV","Ger","Reipas Lahti","Fin","8-1","CUP WINNERS CUP","Round 1","1978"
"77","Hamburger SV","Ger","Reipas Lahti","Fin","5-2","CUP WINNERS CUP","Round 1","1978"
"78","1.FC Köln","Ger","FC Porto","Por","2-2","CUP WINNERS CUP","Round 1","1978"
"79","1.FC Köln","Ger","FC Porto","Por","0-1","CUP WINNERS CUP","Round 1","1978"
"80","Lokomotiva Kosice","TCH","Östers IF","Swe","0-0","CUP WINNERS CUP","Round 1","1978"
"81","Lokomotiva Kosice","TCH","Östers IF","Swe","2-2","CUP WINNERS CUP","Round 1","1978"
"82","PAOK Thessaloniki","Gre","Zaglebie Sosnowiec","Pol","2-0","CUP WINNERS CUP","Round 1","1978"
"83","PAOK Thessaloniki","Gre","Zaglebie Sosnowiec","Pol","2-0","CUP WINNERS CUP","Round 1","1978"
"84","Progrès Niederkorn","Lux","Vejle BK","Den","0-1","CUP WINNERS CUP","Round 1","1978"
"85","Progrès Niederkorn","Lux","Vejle BK","Den","0-9","CUP WINNERS CUP","Round 1","1978"
"86","Glasgow Rangers","Sco","FC Twente Enschede","Ned","0-0","CUP WINNERS CUP","Round 1","1978"
"87","Glasgow Rangers","Sco","FC Twente Enschede","Ned","0-3","CUP WINNERS CUP","Round 1","1978"
"88","AS Saint-Étienne","Fra","Manchester United","Eng","1-1","CUP WINNERS CUP","Round 1","1978"
"89","AS Saint-Étienne","Fra","Manchester United","Eng","0-2","CUP WINNERS CUP","Round 1","1978"
"90","Olympiakos Nicosia","Cyp","Universitatea Craiova","Rom","1-6","CUP WINNERS CUP","Round 1","1978"
"91","Olympiakos Nicosia","Cyp","Universitatea Craiova","Rom","0-2","CUP WINNERS CUP","Round 1","1978"
"92","Valletta FC","Mlt","Dinamo Moscow","URS","0-2","CUP WINNERS CUP","Round 1","1978"
"93","Valletta FC","Mlt","Dinamo Moscow","URS","0-5","CUP WINNERS CUP","Round 1","1978"
"94","Austria Wien","Aut","Lokomotiva Kosice","TCH","0-0","CUP WINNERS CUP","Round 2","1978"
"95","Austria Wien","Aut","Lokomotiva Kosice","TCH","1-1","CUP WINNERS CUP","Round 2","1978"
"96","Diósgyöri Miskolc","Hun","Hajduk Split","YUG","2-1","CUP WINNERS CUP","Round 2","1978"
"97","Diósgyöri Miskolc","Hun","Hajduk Split","YUG","1-2","CUP WINNERS CUP","Round 2","1978"
"98","Hamburger SV","Ger","Anderlecht","Bel","1-2","CUP WINNERS CUP","Round 2","1978"
"99","Hamburger SV","Ger","Anderlecht","Bel","1-1","CUP WINNERS CUP","Round 2","1978"
"100","Lokomotive Leipzig","GDR","Real Betis","Esp","1-1","CUP WINNERS CUP","Round 2","1978"
