"","home.team","home.ctry","away.team","away.ctry","match","tournament","round",""
"1","Manchester City","Eng","Fenerbah<e7>e","Tur","0-0","CHAMPIONS CUP","Round 1","1969"
"2","Manchester City","Eng","Fenerbah<e7>e","Tur","1-2","CHAMPIONS CUP","Round 1","1969"
"3","Anderlecht","Bel","Glentoran","Nir","3-0","CHAMPIONS CUP","Round 1","1969"
"4","Anderlecht","Bel","Glentoran","Nir","2-2","CHAMPIONS CUP","Round 1","1969"
"5","Waterford","Irl","Manchester United","Eng","1-3","CHAMPIONS CUP","Round 1","1969"
"6","Waterford","Irl","Manchester United","Eng","1-7","CHAMPIONS CUP","Round 1","1969"
"7","Real Madrid","Esp","AEL Limassol","Cyp","6-0","CHAMPIONS CUP","Round 1","1969"
"8","Real Madrid","Esp","AEL Limassol","Cyp","6-0","CHAMPIONS CUP","Round 1","1969"
"9","Floriana","Mlt","Reipas Lahti","Fin","1-1","CHAMPIONS CUP","Round 1","1969"
"10","Floriana","Mlt","Reipas Lahti","Fin","0-2","CHAMPIONS CUP","Round 1","1969"
"11","AS Saint-Étienne","Fra","Celtic","Sco","2-0","CHAMPIONS CUP","Round 1","1969"
"12","AS Saint-Étienne","Fra","Celtic","Sco","0-4","CHAMPIONS CUP","Round 1","1969"
"13","AEK Athens","Gre","Jeunesse d'Esch","Lux","3-0","CHAMPIONS CUP","Round 1","1969"
"14","AEK Athens","Gre","Jeunesse d'Esch","Lux","2-3","CHAMPIONS CUP","Round 1","1969"
"15","Valur Reykjavik","Isl","Benfica","Por","0-0","CHAMPIONS CUP","Round 1","1969"
"16","Valur Reykjavik","Isl","Benfica","Por","1-8","CHAMPIONS CUP","Round 1","1969"
"17","Rosenborg BK","Nor","Rapid Wien","Aut","1-3","CHAMPIONS CUP","Round 1","1969"
"18","Rosenborg BK","Nor","Rapid Wien","Aut","3-3","CHAMPIONS CUP","Round 1","1969"
"19","1.FC Nürnberg","Ger","Ajax","Ned","1-1","CHAMPIONS CUP","Round 1","1969"
"20","1.FC Nürnberg","Ger","Ajax","Ned","0-4","CHAMPIONS CUP","Round 1","1969"
"21","Steaua Bucuresti","Rom","Spartak Trnava","TCH","3-1","CHAMPIONS CUP","Round 1","1969"
"22","Steaua Bucuresti","Rom","Spartak Trnava","TCH","0-4","CHAMPIONS CUP","Round 1","1969"
"23","Malmö FF","Swe","AC Milan","Ita","2-1","CHAMPIONS CUP","Round 1","1969"
"24","Malmö FF","Swe","AC Milan","Ita","1-4","CHAMPIONS CUP","Round 1","1969"
"25","FC Zürich","Sui","AB København","Den","1-3","CHAMPIONS CUP","Round 1","1969"
"26","FC Zürich","Sui","AB København","Den","2-1","CHAMPIONS CUP","Round 1","1969"
"27","Manchester United","Eng","Anderlecht","Bel","3-0","CHAMPIONS CUP","Round 2","1969"
"28","Manchester United","Eng","Anderlecht","Bel","1-3","CHAMPIONS CUP","Round 2","1969"
"29","Rapid Wien","Aut","Real Madrid","Esp","1-0","CHAMPIONS CUP","Round 2","1969"
"30","Rapid Wien","Aut","Real Madrid","Esp","1-2","CHAMPIONS CUP","Round 2","1969"
"31","Celtic","Sco","Red Star Belgrade","YUG","5-1","CHAMPIONS CUP","Round 2","1969"
"32","Celtic","Sco","Red Star Belgrade","YUG","1-1","CHAMPIONS CUP","Round 2","1969"
"33","Reipas Lahti","Fin","Spartak Trnava","TCH","1-9","CHAMPIONS CUP","Round 2","1969"
"34","Reipas Lahti","Fin","Spartak Trnava","TCH","1-7","CHAMPIONS CUP","Round 2","1969"
"35","AEK Athens","Gre","AB København","Den","0-0","CHAMPIONS CUP","Round 2","1969"
"36","AEK Athens","Gre","AB København","Den","2-0","CHAMPIONS CUP","Round 2","1969"
"37","Ajax","Ned","Fenerbahçe","Tur","2-0","CHAMPIONS CUP","Round 2","1969"
"38","Ajax","Ned","Fenerbahçe","Tur","2-0","CHAMPIONS CUP","Round 2","1969"
"39","Manchester United","Eng","Rapid Wien","Aut","3-0","CHAMPIONS CUP","Quarter Finals","1969"
"40","Manchester United","Eng","Rapid Wien","Aut","0-0","CHAMPIONS CUP","Quarter Finals","1969"
"41","AC Milan","Ita","Celtic","Sco","0-0","CHAMPIONS CUP","Quarter Finals","1969"
"42","AC Milan","Ita","Celtic","Sco","1-0","CHAMPIONS CUP","Quarter Finals","1969"
"43","Ajax","Ned","Benfica","Por","1-3","CHAMPIONS CUP","Quarter Finals","1969"
"44","Ajax","Ned","Benfica","Por","3-1","CHAMPIONS CUP","Quarter Finals","1969"
"45","Spartak Trnava","TCH","AEK Athens","Gre","2-1","CHAMPIONS CUP","Quarter Finals","1969"
"46","Spartak Trnava","TCH","AEK Athens","Gre","1-1","CHAMPIONS CUP","Quarter Finals","1969"
"47","AC Milan","Ita","Manchester United","Eng","2-0","CHAMPIONS CUP","Semi Finals","1969"
"48","AC Milan","Ita","Manchester United","Eng","0-1","CHAMPIONS CUP","Semi Finals","1969"
"49","Ajax","Ned","Spartak Trnava","TCH","3-0","CHAMPIONS CUP","Semi Finals","1969"
"50","Ajax","Ned","Spartak Trnava","TCH","0-2","CHAMPIONS CUP","Semi Finals","1969"
"51","AC Milan","Ita","Ajax","Ned","4-1","CHAMPIONS CUP","Final","1969"
"52","Partizani Tirana","Alb","Torino","Ita","1-0","CUP WINNERS CUP","Round 1","1969"
"53","Partizani Tirana","Alb","Torino","Ita","1-3","CUP WINNERS CUP","Round 1","1969"
"54","Club Brugge","Bel","West Bromwich Albion","Eng","3-1","CUP WINNERS CUP","Round 1","1969"
"55","Club Brugge","Bel","West Bromwich Albion","Eng","0-2","CUP WINNERS CUP","Round 1","1969"
