"","home.team","home.ctry","away.team","away.ctry","match","tournament","round",""
"1","Sliema Wanderers","Mlt","CSKA Sofia","Bul","1-2","CHAMPIONS CUP","Qualifying Round","1967"
"2","Sliema Wanderers","Mlt","CSKA Sofia","Bul","0-4","CHAMPIONS CUP","Qualifying Round","1967"
"3","Waterford","Irl","Vorw<e4>rts Berlin","GDR","1-6","CHAMPIONS CUP","Qualifying Round","1967"
"4","Waterford","Irl","Vorw<e4>rts Berlin","GDR","0-6","CHAMPIONS CUP","Qualifying Round","1967"
"5","Celtic","Sco","FC Zürich","Sui","2-0","CHAMPIONS CUP","Round 1","1967"
"6","Celtic","Sco","FC Zürich","Sui","3-0","CHAMPIONS CUP","Round 1","1967"
"7","KR Reykjavik","Isl","FC Nantes","Fra","2-3","CHAMPIONS CUP","Round 1","1967"
"8","KR Reykjavik","Isl","FC Nantes","Fra","2-5","CHAMPIONS CUP","Round 1","1967"
"9","Malmö FF","Swe","Atlético Madrid","Esp","0-2","CHAMPIONS CUP","Round 1","1967"
"10","Malmö FF","Swe","Atlético Madrid","Esp","1-3","CHAMPIONS CUP","Round 1","1967"
"11","Admira Wien","Aut","Vojvodina Novi Sad","YUG","0-1","CHAMPIONS CUP","Round 1","1967"
"12","Admira Wien","Aut","Vojvodina Novi Sad","YUG","0-0","CHAMPIONS CUP","Round 1","1967"
"13","Liverpool","Eng","Petrolul Ploiesti","Rom","2-0","CHAMPIONS CUP","Round 1","1967"
"14","Liverpool","Eng","Petrolul Ploiesti","Rom","1-3","CHAMPIONS CUP","Round 1","1967"
"15","Ajax","Ned","Besiktas","Tur","2-0","CHAMPIONS CUP","Round 1","1967"
"16","Ajax","Ned","Besiktas","Tur","2-1","CHAMPIONS CUP","Round 1","1967"
"17","Haka Valkeakoski","Fin","Anderlecht","Bel","1-10","CHAMPIONS CUP","Round 1","1967"
"18","Haka Valkeakoski","Fin","Anderlecht","Bel","0-2","CHAMPIONS CUP","Round 1","1967"
"19","Esbjerg fB","Den","Dukla Praha","TCH","0-2","CHAMPIONS CUP","Round 1","1967"
"20","Esbjerg fB","Den","Dukla Praha","TCH","0-4","CHAMPIONS CUP","Round 1","1967"
"21","Aris Bonnevoie","Lux","Linfield Belfast","Nir","3-3","CHAMPIONS CUP","Round 1","1967"
"22","Aris Bonnevoie","Lux","Linfield Belfast","Nir","1-6","CHAMPIONS CUP","Round 1","1967"
"23","Górnik Zabrze","Pol","Vorwärts Berlin","GDR","2-1","CHAMPIONS CUP","Round 1","1967"
"24","Górnik Zabrze","Pol","Vorwärts Berlin","GDR","1-2","CHAMPIONS CUP","Round 1","1967"
"25","CSKA Sofia","Bul","Olympiakos Piraeus","Gre","3-1","CHAMPIONS CUP","Round 1","1967"
"26","CSKA Sofia","Bul","Olympiakos Piraeus","Gre","0-1","CHAMPIONS CUP","Round 1","1967"
"27","TSV 1860 München","Ger","Omonia Nicosia","Cyp","8-0","CHAMPIONS CUP","Round 1","1967"
"28","TSV 1860 München","Ger","Omonia Nicosia","Cyp","2-1","CHAMPIONS CUP","Round 1","1967"
"29","Vasas Budapest","Hun","Sporting CP Lisbon","Por","5-0","CHAMPIONS CUP","Round 1","1967"
"30","Vasas Budapest","Hun","Sporting CP Lisbon","Por","2-0","CHAMPIONS CUP","Round 1","1967"
"31","Internazionale","Ita","Torpedo Moscow","URS","1-0","CHAMPIONS CUP","Round 1","1967"
"32","Internazionale","Ita","Torpedo Moscow","URS","0-0","CHAMPIONS CUP","Round 1","1967"
"33","FC Nantes","Fra","Celtic","Sco","1-3","CHAMPIONS CUP","Round 2","1967"
"34","FC Nantes","Fra","Celtic","Sco","1-3","CHAMPIONS CUP","Round 2","1967"
"35","Vojvodina Novi Sad","YUG","Atlético Madrid","Esp","3-1","CHAMPIONS CUP","Round 2","1967"
"36","Vojvodina Novi Sad","YUG","Atlético Madrid","Esp","0-2","CHAMPIONS CUP","Round 2","1967"
"37","Ajax","Ned","Liverpool","Eng","5-1","CHAMPIONS CUP","Round 2","1967"
"38","Ajax","Ned","Liverpool","Eng","2-2","CHAMPIONS CUP","Round 2","1967"
"39","Dukla Praha","TCH","Anderlecht","Bel","4-1","CHAMPIONS CUP","Round 2","1967"
"40","Dukla Praha","TCH","Anderlecht","Bel","2-1","CHAMPIONS CUP","Round 2","1967"
"41","CSKA Sofia","Bul","Górnik Zabrze","Pol","4-0","CHAMPIONS CUP","Round 2","1967"
"42","CSKA Sofia","Bul","Górnik Zabrze","Pol","0-3","CHAMPIONS CUP","Round 2","1967"
"43","Vålerengen IF","Nor","Linfield Belfast","Nir","1-4","CHAMPIONS CUP","Round 2","1967"
"44","Vålerengen IF","Nor","Linfield Belfast","Nir","1-1","CHAMPIONS CUP","Round 2","1967"
"45","TSV 1860 München","Ger","Real Madrid","Esp","1-0","CHAMPIONS CUP","Round 2","1967"
"46","TSV 1860 München","Ger","Real Madrid","Esp","1-3","CHAMPIONS CUP","Round 2","1967"
"47","Internazionale","Ita","Vasas Budapest","Hun","2-1","CHAMPIONS CUP","Round 2","1967"
"48","Internazionale","Ita","Vasas Budapest","Hun","2-0","CHAMPIONS CUP","Round 2","1967"
"49","Vojvodina Novi Sad","YUG","Celtic","Sco","1-0","CHAMPIONS CUP","Quarter Finals","1967"
"50","Vojvodina Novi Sad","YUG","Celtic","Sco","0-2","CHAMPIONS CUP","Quarter Finals","1967"
"51","Ajax","Ned","Dukla Praha","TCH","1-1","CHAMPIONS CUP","Quarter Finals","1967"
"52","Ajax","Ned","Dukla Praha","TCH","1-2","CHAMPIONS CUP","Quarter Finals","1967"
"53","Linfield Belfast","Nir","CSKA Sofia","Bul","2-2","CHAMPIONS CUP","Quarter Finals","1967"
"54","Linfield Belfast","Nir","CSKA Sofia","Bul","0-1","CHAMPIONS CUP","Quarter Finals","1967"
"55","Internazionale","Ita","Real Madrid","Esp","1-0","CHAMPIONS CUP","Quarter Finals","1967"
"56","Internazionale","Ita","Real Madrid","Esp","2-0","CHAMPIONS CUP","Quarter Finals","1967"
"57","Celtic","Sco","Dukla Praha","TCH","3-1","CHAMPIONS CUP","Semi Finals","1967"
"58","Celtic","Sco","Dukla Praha","TCH","0-0","CHAMPIONS CUP","Semi Finals","1967"
"59","Internazionale","Ita","CSKA Sofia","Bul","1-1","CHAMPIONS CUP","Semi Finals","1967"
"60","Internazionale","Ita","CSKA Sofia","Bul","1-1","CHAMPIONS CUP","Semi Finals","1967"
"61","Celtic","Sco","Internazionale","Ita","2-1","CHAMPIONS CUP","Final","1967"
