"","home.team","home.ctry","away.team","away.ctry","match","tournament","round",""
"1","Leeds United","Eng","FC Z<fc>rich","Sui","4-1","CHAMPIONS CUP","Round 1","1975"
"2","Leeds United","Eng","FC Z<fc>rich","Sui","1-2","CHAMPIONS CUP","Round 1","1975"
"3","Celtic","Sco","Olympiakos Piraeus","Gre","1-1","CHAMPIONS CUP","Round 1","1975"
"4","Celtic","Sco","Olympiakos Piraeus","Gre","0-2","CHAMPIONS CUP","Round 1","1975"
"5","Universitatea Craiova","Rom","Åtvidabergs FF","Swe","2-1","CHAMPIONS CUP","Round 1","1975"
"6","Universitatea Craiova","Rom","Åtvidabergs FF","Swe","1-3","CHAMPIONS CUP","Round 1","1975"
"7","Valletta FC","Mlt","HJK Helsinki","Fin","1-0","CHAMPIONS CUP","Round 1","1975"
"8","Valletta FC","Mlt","HJK Helsinki","Fin","1-4","CHAMPIONS CUP","Round 1","1975"
"9","Levski-Spartak Sofia","Bul","Újpest Dózsa","Hun","0-3","CHAMPIONS CUP","Round 1","1975"
"10","Levski-Spartak Sofia","Bul","Újpest Dózsa","Hun","1-4","CHAMPIONS CUP","Round 1","1975"
"11","Jeunesse d'Esch","Lux","Fenerbahçe","Tur","2-3","CHAMPIONS CUP","Round 1","1975"
"12","Jeunesse d'Esch","Lux","Fenerbahçe","Tur","0-2","CHAMPIONS CUP","Round 1","1975"
"13","Viking Stavanger","Nor","Ararat Yerevan","URS","0-2","CHAMPIONS CUP","Round 1","1975"
"14","Viking Stavanger","Nor","Ararat Yerevan","URS","2-4","CHAMPIONS CUP","Round 1","1975"
"15","Hvidovre IF","Den","Ruch Chorzow","Pol","0-0","CHAMPIONS CUP","Round 1","1975"
"16","Hvidovre IF","Den","Ruch Chorzow","Pol","1-2","CHAMPIONS CUP","Round 1","1975"
"17","Slovan Bratislava","TCH","Anderlecht","Bel","4-2","CHAMPIONS CUP","Round 1","1975"
"18","Slovan Bratislava","TCH","Anderlecht","Bel","1-3","CHAMPIONS CUP","Round 1","1975"
"19","Feyenoord","Ned","Coleraine","Nir","7-0","CHAMPIONS CUP","Round 1","1975"
"20","Feyenoord","Ned","Coleraine","Nir","4-1","CHAMPIONS CUP","Round 1","1975"
"21","AS Saint-Étienne","Fra","Sporting CP Lisbon","Por","2-0","CHAMPIONS CUP","Round 1","1975"
"22","AS Saint-Étienne","Fra","Sporting CP Lisbon","Por","1-1","CHAMPIONS CUP","Round 1","1975"
"23","SK Vöest Linz","Aut","FC Barcelona","Esp","0-0","CHAMPIONS CUP","Round 1","1975"
"24","SK Vöest Linz","Aut","FC Barcelona","Esp","0-5","CHAMPIONS CUP","Round 1","1975"
"25","Hajduk Split","YUG","Keflavik","Isl","7-1","CHAMPIONS CUP","Round 1","1975"
"26","Hajduk Split","YUG","Keflavik","Isl","2-0","CHAMPIONS CUP","Round 1","1975"
"27","Újpest Dózsa","Hun","Leeds United","Eng","1-2","CHAMPIONS CUP","Round 2","1975"
"28","Újpest Dózsa","Hun","Leeds United","Eng","0-3","CHAMPIONS CUP","Round 2","1975"
"29","Bayern München","Ger","1.FC Magdeburg","GDR","3-2","CHAMPIONS CUP","Round 2","1975"
"30","Bayern München","Ger","1.FC Magdeburg","GDR","2-1","CHAMPIONS CUP","Round 2","1975"
"31","Hajduk Split","YUG","AS Saint-Étienne","Fra","4-1","CHAMPIONS CUP","Round 2","1975"
"32","Hajduk Split","YUG","AS Saint-Étienne","Fra","1-5","CHAMPIONS CUP","Round 2","1975"
"33","Feyenoord","Ned","FC Barcelona","Esp","0-0","CHAMPIONS CUP","Round 2","1975"
"34","Feyenoord","Ned","FC Barcelona","Esp","0-3","CHAMPIONS CUP","Round 2","1975"
"35","Cork Celtic","Irl","Ararat Yerevan","URS","1-2","CHAMPIONS CUP","Round 2","1975"
"36","Cork Celtic","Irl","Ararat Yerevan","URS","0-5","CHAMPIONS CUP","Round 2","1975"
"37","Ruch Chorzow","Pol","Fenerbahçe","Tur","2-1","CHAMPIONS CUP","Round 2","1975"
"38","Ruch Chorzow","Pol","Fenerbahçe","Tur","2-0","CHAMPIONS CUP","Round 2","1975"
"39","HJK Helsinki","Fin","Åtvidabergs FF","Swe","0-3","CHAMPIONS CUP","Round 2","1975"
"40","HJK Helsinki","Fin","Åtvidabergs FF","Swe","0-1","CHAMPIONS CUP","Round 2","1975"
"41","Anderlecht","Bel","Olympiakos Piraeus","Gre","5-1","CHAMPIONS CUP","Round 2","1975"
"42","Anderlecht","Bel","Olympiakos Piraeus","Gre","0-3","CHAMPIONS CUP","Round 2","1975"
"43","Bayern München","Ger","Ararat Yerevan","URS","2-0","CHAMPIONS CUP","Quarter Finals","1975"
"44","Bayern München","Ger","Ararat Yerevan","URS","0-1","CHAMPIONS CUP","Quarter Finals","1975"
"45","Leeds United","Eng","Anderlecht","Bel","3-0","CHAMPIONS CUP","Quarter Finals","1975"
"46","Leeds United","Eng","Anderlecht","Bel","1-0","CHAMPIONS CUP","Quarter Finals","1975"
"47","Ruch Chorzow","Pol","AS Saint-Étienne","Fra","3-2","CHAMPIONS CUP","Quarter Finals","1975"
"48","Ruch Chorzow","Pol","AS Saint-Étienne","Fra","0-2","CHAMPIONS CUP","Quarter Finals","1975"
"49","FC Barcelona","Esp","Åtvidabergs FF","Swe","2-0","CHAMPIONS CUP","Quarter Finals","1975"
"50","FC Barcelona","Esp","Åtvidabergs FF","Swe","3-0","CHAMPIONS CUP","Quarter Finals","1975"
"51","AS Saint-Étienne","Fra","Bayern München","Ger","0-0","CHAMPIONS CUP","Semi Finals","1975"
