"home.team" "home.ctry" "away.team" "away.ctry" "match" "tournament" "round"
"113" "CF Os Belenenses" "Por" "FC Barcelona" "Esp" "1-1" "INTER-CITIES FAIRS CUP" "Round 1"
"114" "CF Os Belenenses" "Por" "FC Barcelona" "Esp" "1-1" "INTER-CITIES FAIRS CUP" "Round 1"
"115" "Glentoran" "Nir" "Real Zaragoza" "Esp" "0-2" "INTER-CITIES FAIRS CUP" "Round 1"
"116" "Glentoran" "Nir" "Real Zaragoza" "Esp" "2-6" "INTER-CITIES FAIRS CUP" "Round 1"
"117" "Altay Izmir" "Tur" "AS Roma" "Ita" "2-3" "INTER-CITIES FAIRS CUP" "Round 1"
"118" "Altay Izmir" "Tur" "AS Roma" "Ita" "1-10" "INTER-CITIES FAIRS CUP" "Round 1"
"119" "Viktoria Köln" "Ger" "Ferencváros" "Hun" "4-3" "INTER-CITIES FAIRS CUP" "Round 1"
"120" "Viktoria Köln" "Ger" "Ferencváros" "Hun" "1-4" "INTER-CITIES FAIRS CUP" "Round 1"
"121" "Sampdoria" "Ita" "Aris Bonnevoie" "Lux" "1-0" "INTER-CITIES FAIRS CUP" "Round 1"
"122" "Sampdoria" "Ita" "Aris Bonnevoie" "Lux" "2-0" "INTER-CITIES FAIRS CUP" "Round 1"
"123" "Vojvodina Novi Sad" "YUG" "Leipzig XI" "GDR" "1-0" "INTER-CITIES FAIRS CUP" "Round 1"
"124" "Vojvodina Novi Sad" "YUG" "Leipzig XI" "GDR" "0-2" "INTER-CITIES FAIRS CUP" "Round 1"
"125" "Petrolul Ploiesti" "Rom" "Spartak Brno" "TCH" "4-0" "INTER-CITIES FAIRS CUP" "Round 1"
"126" "Petrolul Ploiesti" "Rom" "Spartak Brno" "TCH" "1-0" "INTER-CITIES FAIRS CUP" "Round 1"
"127" "Basel XI" "Sui" "Bayern München" "Ger" "0-3" "INTER-CITIES FAIRS CUP" "Round 1"
"128" "Drumcondra FC" "Irl" "Odense XI" "Den" "4-1" "INTER-CITIES FAIRS CUP" "Round 1"
"129" "Drumcondra FC" "Irl" "Odense XI" "Den" "2-4" "INTER-CITIES FAIRS CUP" "Round 1"
"130" "Olympique Marseille" "Fra" "Union Saint-Gilloise" "Bel" "1-0" "INTER-CITIES FAIRS CUP" "Round 1"
"131" "Olympique Marseille" "Fra" "Union Saint-Gilloise" "Bel" "2-4" "INTER-CITIES FAIRS CUP" "Round 1"
"132" "FC Porto" "Por" "Dinamo Zagreb" "YUG" "1-2" "INTER-CITIES FAIRS CUP" "Round 1"
"133" "FC Porto" "Por" "Dinamo Zagreb" "YUG" "0-0" "INTER-CITIES FAIRS CUP" "Round 1"
"134" "Valencia" "Esp" "Dunfermline Athletic" "Sco" "4-0" "INTER-CITIES FAIRS CUP" "Round 2"
"135" "Valencia" "Esp" "Dunfermline Athletic" "Sco" "2-6" "INTER-CITIES FAIRS CUP" "Round 2"
"136" "Utrecht XI" "Ned" "Hibernian" "Sco" "0-1" "INTER-CITIES FAIRS CUP" "Round 2"
"137" "Utrecht XI" "Ned" "Hibernian" "Sco" "1-2" "INTER-CITIES FAIRS CUP" "Round 2"
"138" "Red Star Belgrade" "YUG" "FC Barcelona" "Esp" "3-2" "INTER-CITIES FAIRS CUP" "Round 2"
"139" "Red Star Belgrade" "YUG" "FC Barcelona" "Esp" "0-1" "INTER-CITIES FAIRS CUP" "Round 2"
"140" "Real Zaragoza" "Esp" "AS Roma" "Ita" "2-4" "INTER-CITIES FAIRS CUP" "Round 2"
"141" "Real Zaragoza" "Esp" "AS Roma" "Ita" "2-1" "INTER-CITIES FAIRS CUP" "Round 2"
"142" "Sampdoria" "Ita" "Ferencváros" "Hun" "1-0" "INTER-CITIES FAIRS CUP" "Round 2"
"143" "Sampdoria" "Ita" "Ferencváros" "Hun" "0-6" "INTER-CITIES FAIRS CUP" "Round 2"
"144" "Petrolul Ploiesti" "Rom" "Leipzig XI" "GDR" "1-0" "INTER-CITIES FAIRS CUP" "Round 2"
"145" "Petrolul Ploiesti" "Rom" "Leipzig XI" "GDR" "0-1" "INTER-CITIES FAIRS CUP" "Round 2"
"146" "Bayern München" "Ger" "Drumcondra FC" "Irl" "6-0" "INTER-CITIES FAIRS CUP" "Round 2"
"147" "Bayern München" "Ger" "Drumcondra FC" "Irl" "0-1" "INTER-CITIES FAIRS CUP" "Round 2"
"148" "Dinamo Zagreb" "YUG" "Union Saint-Gilloise" "Bel" "2-1" "INTER-CITIES FAIRS CUP" "Round 2"
"149" "Dinamo Zagreb" "YUG" "Union Saint-Gilloise" "Bel" "0-1" "INTER-CITIES FAIRS CUP" "Round 2"
"150" "Valencia" "Esp" "Hibernian" "Sco" "5-0" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"151" "Valencia" "Esp" "Hibernian" "Sco" "1-2" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"152" "AS Roma" "Ita" "Red Star Belgrade" "YUG" "3-0" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"153" "AS Roma" "Ita" "Red Star Belgrade" "YUG" "0-2" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"154" "Ferencváros" "Hun" "Petrolul Ploiesti" "Rom" "2-0" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"155" "Ferencváros" "Hun" "Petrolul Ploiesti" "Rom" "0-1" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"156" "Bayern München" "Ger" "Dinamo Zagreb" "YUG" "1-4" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"157" "Bayern München" "Ger" "Dinamo Zagreb" "YUG" "0-0" "INTER-CITIES FAIRS CUP" "Quarter Finals"
"158" "Valencia" "Esp" "AS Roma" "Ita" "3-0" "INTER-CITIES FAIRS CUP" "Semi Finals"
"159" "Valencia" "Esp" "AS Roma" "Ita" "0-1" "INTER-CITIES FAIRS CUP" "Semi Finals"
"160" "Ferencváros" "Hun" "Dinamo Zagreb" "YUG" "0-1" "INTER-CITIES FAIRS CUP" "Semi Finals"
"161" "Ferencváros" "Hun" "Dinamo Zagreb" "YUG" "1-2" "INTER-CITIES FAIRS CUP" "Semi Finals"
"162" "Dinamo Zagreb" "YUG" "Valencia" "Esp" "1-2" "INTER-CITIES FAIRS CUP" "Final"
"163" "Dinamo Zagreb" "YUG" "Valencia" "Esp" "0-2" "INTER-CITIES FAIRS CUP" "Final"
