"home.team" "home.ctry" "away.team" "away.ctry" "match" "tournament" "round"
"1" "AC Milan" "Ita" "Union Luxembourg" "Lux" "8-0" "CHAMPIONS CUP" "Round 1"
"2" "AC Milan" "Ita" "Union Luxembourg" "Lux" "6-0" "CHAMPIONS CUP" "Round 1"
"3" "Floriana" "Mlt" "Ipswich Town" "Eng" "1-4" "CHAMPIONS CUP" "Round 1"
"4" "Floriana" "Mlt" "Ipswich Town" "Eng" "0-10" "CHAMPIONS CUP" "Round 1"
"5" "Dinamo Bucuresti" "Rom" "Galatasaray" "Tur" "1-1" "CHAMPIONS CUP" "Round 1"
"6" "Dinamo Bucuresti" "Rom" "Galatasaray" "Tur" "0-3" "CHAMPIONS CUP" "Round 1"
"7" "Polonia Bytom" "Pol" "Panathinaikos" "Gre" "2-1" "CHAMPIONS CUP" "Round 1"
"8" "Polonia Bytom" "Pol" "Panathinaikos" "Gre" "4-1" "CHAMPIONS CUP" "Round 1"
"9" "CDNA Sofia" "Bul" "Partizan Belgrade" "YUG" "2-1" "CHAMPIONS CUP" "Round 1"
"10" "CDNA Sofia" "Bul" "Partizan Belgrade" "YUG" "4-1" "CHAMPIONS CUP" "Round 1"
"11" "Real Madrid" "Esp" "Anderlecht" "Bel" "3-3" "CHAMPIONS CUP" "Round 1"
"12" "Real Madrid" "Esp" "Anderlecht" "Bel" "0-1" "CHAMPIONS CUP" "Round 1"
"13" "Shelbourne" "Irl" "Sporting CP Lisbon" "Por" "0-2" "CHAMPIONS CUP" "Round 1"
"14" "Shelbourne" "Irl" "Sporting CP Lisbon" "Por" "1-5" "CHAMPIONS CUP" "Round 1"
"15" "Dundee FC" "Sco" "1.FC K�ln" "Ger" "8-1" "CHAMPIONS CUP" "Round 1"
"16" "Dundee FC" "Sco" "1.FC K�ln" "Ger" "0-4" "CHAMPIONS CUP" "Round 1"
"17" "Servette FC Genève" "Sui" "Feyenoord" "Ned" "1-3" "CHAMPIONS CUP" "Round 1"
"18" "Servette FC Genève" "Sui" "Feyenoord" "Ned" "3-1" "CHAMPIONS CUP" "Round 1"
"19" "Fredrikstad FK" "Nor" "Vasas Budapest" "Hun" "1-4" "CHAMPIONS CUP" "Round 1"
"20" "Fredrikstad FK" "Nor" "Vasas Budapest" "Hun" "0-7" "CHAMPIONS CUP" "Round 1"
"21" "Austria Wien" "Aut" "HIFK Helsinki" "Fin" "5-3" "CHAMPIONS CUP" "Round 1"
"22" "Austria Wien" "Aut" "HIFK Helsinki" "Fin" "2-0" "CHAMPIONS CUP" "Round 1"
"23" "Vorwärts Berlin" "GDR" "Dukla Praha" "TCH" "0-3" "CHAMPIONS CUP" "Round 1"
"24" "Vorwärts Berlin" "GDR" "Dukla Praha" "TCH" "0-1" "CHAMPIONS CUP" "Round 1"
"25" "Linfield Belfast" "Nir" "Esbjerg fB" "Den" "1-2" "CHAMPIONS CUP" "Round 1"
"26" "Linfield Belfast" "Nir" "Esbjerg fB" "Den" "0-0" "CHAMPIONS CUP" "Round 1"
"27" "IFK Norrköping" "Swe" "Partizani Tirana" "Alb" "2-0" "CHAMPIONS CUP" "Round 1"
"28" "IFK Norrköping" "Swe" "Partizani Tirana" "Alb" "1-1" "CHAMPIONS CUP" "Round 1"
"29" "AC Milan" "Ita" "Ipswich Town" "Eng" "3-0" "CHAMPIONS CUP" "Round 2"
"30" "AC Milan" "Ita" "Ipswich Town" "Eng" "1-2" "CHAMPIONS CUP" "Round 2"
"31" "Galatasaray" "Tur" "Polonia Bytom" "Pol" "4-1" "CHAMPIONS CUP" "Round 2"
"32" "Galatasaray" "Tur" "Polonia Bytom" "Pol" "0-1" "CHAMPIONS CUP" "Round 2"
"33" "CDNA Sofia" "Bul" "Anderlecht" "Bel" "2-2" "CHAMPIONS CUP" "Round 2"
"34" "CDNA Sofia" "Bul" "Anderlecht" "Bel" "0-2" "CHAMPIONS CUP" "Round 2"
"35" "Sporting CP Lisbon" "Por" "Dundee FC" "Sco" "1-0" "CHAMPIONS CUP" "Round 2"
"36" "Sporting CP Lisbon" "Por" "Dundee FC" "Sco" "1-4" "CHAMPIONS CUP" "Round 2"
"37" "Feyenoord" "Ned" "Vasas Budapest" "Hun" "1-1" "CHAMPIONS CUP" "Round 2"
"38" "Feyenoord" "Ned" "Vasas Budapest" "Hun" "2-2" "CHAMPIONS CUP" "Round 2"
"39" "Austria Wien" "Aut" "Stade de Reims" "Fra" "3-2" "CHAMPIONS CUP" "Round 2"
"40" "Austria Wien" "Aut" "Stade de Reims" "Fra" "0-5" "CHAMPIONS CUP" "Round 2"
"41" "Esbjerg fB" "Den" "Dukla Praha" "TCH" "0-0" "CHAMPIONS CUP" "Round 2"
"42" "Esbjerg fB" "Den" "Dukla Praha" "TCH" "0-5" "CHAMPIONS CUP" "Round 2"
"43" "IFK Norrköping" "Swe" "Benfica" "Por" "1-1" "CHAMPIONS CUP" "Round 2"
"44" "IFK Norrköping" "Swe" "Benfica" "Por" "1-5" "CHAMPIONS CUP" "Round 2"
"45" "Galatasaray" "Tur" "AC Milan" "Ita" "1-3" "CHAMPIONS CUP" "Quarter Finals"
"46" "Galatasaray" "Tur" "AC Milan" "Ita" "0-5" "CHAMPIONS CUP" "Quarter Finals"
"47" "Anderlecht" "Bel" "Dundee FC" "Sco" "1-4" "CHAMPIONS CUP" "Quarter Finals"
"48" "Anderlecht" "Bel" "Dundee FC" "Sco" "1-2" "CHAMPIONS CUP" "Quarter Finals"
"49" "Stade de Reims" "Fra" "Feyenoord" "Ned" "0-1" "CHAMPIONS CUP" "Quarter Finals"
"50" "Stade de Reims" "Fra" "Feyenoord" "Ned" "1-1" "CHAMPIONS CUP" "Quarter Finals"
"51" "Benfica" "Por" "Dukla Praha" "TCH" "2-1" "CHAMPIONS CUP" "Quarter Finals"
"52" "Benfica" "Por" "Dukla Praha" "TCH" "0-0" "CHAMPIONS CUP" "Quarter Finals"
"53" "AC Milan" "Ita" "Dundee FC" "Sco" "5-1" "CHAMPIONS CUP" "Semi Finals"
"54" "AC Milan" "Ita" "Dundee FC" "Sco" "0-1" "CHAMPIONS CUP" "Semi Finals"
"55" "Feyenoord" "Ned" "Benfica" "Por" "0-0" "CHAMPIONS CUP" "Semi Finals"
"56" "Feyenoord" "Ned" "Benfica" "Por" "1-3" "CHAMPIONS CUP" "Semi Finals"
"57" "AC Milan" "Ita" "Benfica" "Por" "2-1" "CHAMPIONS CUP" "Final"
"58" "Glasgow Rangers" "Sco" "Sevilla" "Esp" "4-0" "CUP WINNERS CUP" "Qualifying Round"
"59" "Glasgow Rangers" "Sco" "Sevilla" "Esp" "0-2" "CUP WINNERS CUP" "Qualifying Round"
"60" "Lausanne Sports" "Sui" "Sparta Rotterdam" "Ned" "3-0" "CUP WINNERS CUP" "Qualifying Round"
"61" "Lausanne Sports" "Sui" "Sparta Rotterdam" "Ned" "2-4" "CUP WINNERS CUP" "Qualifying Round"
"62" "Bangor City" "Wal" "Napoli" "Ita" "2-0" "CUP WINNERS CUP" "Qualifying Round"
"63" "Bangor City" "Wal" "Napoli" "Ita" "1-3" "CUP WINNERS CUP" "Qualifying Round"
"64" "Újpest Dózsa" "Hun" "Zaglebie Sosnowiec" "Pol" "5-0" "CUP WINNERS CUP" "Qualifying Round"
"65" "Újpest Dózsa" "Hun" "Zaglebie Sosnowiec" "Pol" "0-0" "CUP WINNERS CUP" "Qualifying Round"
"66" "OFK Belgrade" "YUG" "Chemie Halle" "GDR" "2-0" "CUP WINNERS CUP" "Qualifying Round"
"67" "OFK Belgrade" "YUG" "Chemie Halle" "GDR" "3-3" "CUP WINNERS CUP" "Qualifying Round"
"68" "AS Saint-Étienne" "Fra" "Vitória Setúbal" "Por" "1-1" "CUP WINNERS CUP" "Qualifying Round"
"69" "AS Saint-Étienne" "Fra" "Vitória Setúbal" "Por" "3-0" "CUP WINNERS CUP" "Qualifying Round"
"70" "Alliance Dudelange" "Lux" "B1909 Odense" "Den" "1-1" "CUP WINNERS CUP" "Qualifying Round"
"71" "Alliance Dudelange" "Lux" "B1909 Odense" "Den" "1-8" "CUP WINNERS CUP" "Qualifying Round"
"72" "Steaua Bucuresti" "Rom" "Botev Plovdiv" "Bul" "3-2" "CUP WINNERS CUP" "Qualifying Round"
"73" "Steaua Bucuresti" "Rom" "Botev Plovdiv" "Bul" "1-5" "CUP WINNERS CUP" "Qualifying Round"
"74" "Tottenham Hotspur" "Eng" "Glasgow Rangers" "Sco" "5-2" "CUP WINNERS CUP" "Round 1"
"75" "Tottenham Hotspur" "Eng" "Glasgow Rangers" "Sco" "3-2" "CUP WINNERS CUP" "Round 1"
"76" "Lausanne Sports" "Sui" "Slovan Bratislava" "TCH" "1-1" "CUP WINNERS CUP" "Round 1"
"77" "Lausanne Sports" "Sui" "Slovan Bratislava" "TCH" "0-1" "CUP WINNERS CUP" "Round 1"
"78" "Újpest Dózsa" "Hun" "Napoli" "Ita" "1-1" "CUP WINNERS CUP" "Round 1"
"79" "Újpest Dózsa" "Hun" "Napoli" "Ita" "1-1" "CUP WINNERS CUP" "Round 1"
"80" "OFK Belgrade" "YUG" "Portadown" "Nir" "5-1" "CUP WINNERS CUP" "Round 1"
"81" "OFK Belgrade" "YUG" "Portadown" "Nir" "2-3" "CUP WINNERS CUP" "Round 1"
"82" "AS Saint-Étienne" "Fra" "1.FC Nürnberg" "Ger" "0-0" "CUP WINNERS CUP" "Round 1"
"83" "AS Saint-Étienne" "Fra" "1.FC Nürnberg" "Ger" "0-3" "CUP WINNERS CUP" "Round 1"
"84" "Grazer AK" "Aut" "B1909 Odense" "Den" "1-1" "CUP WINNERS CUP" "Round 1"
"85" "Grazer AK" "Aut" "B1909 Odense" "Den" "3-5" "CUP WINNERS CUP" "Round 1"
"86" "Shamrock Rovers" "Irl" "Botev Plovdiv" "Bul" "0-4" "CUP WINNERS CUP" "Round 1"
"87" "Shamrock Rovers" "Irl" "Botev Plovdiv" "Bul" "0-1" "CUP WINNERS CUP" "Round 1"
"88" "Atlético Madrid" "Esp" "Hibernians FC" "Mlt" "4-0" "CUP WINNERS CUP" "Round 1"
"89" "Atlético Madrid" "Esp" "Hibernians FC" "Mlt" "1-0" "CUP WINNERS CUP" "Round 1"
"90" "Slovan Bratislava" "TCH" "Tottenham Hotspur" "Eng" "2-0" "CUP WINNERS CUP" "Quarter Finals"
"91" "Slovan Bratislava" "TCH" "Tottenham Hotspur" "Eng" "0-6" "CUP WINNERS CUP" "Quarter Finals"
"92" "OFK Belgrade" "YUG" "Napoli" "Ita" "2-0" "CUP WINNERS CUP" "Quarter Finals"
"93" "OFK Belgrade" "YUG" "Napoli" "Ita" "1-3" "CUP WINNERS CUP" "Quarter Finals"
"94" "1.FC Nürnberg" "Ger" "B1909 Odense" "Den" "1-0" "CUP WINNERS CUP" "Quarter Finals"
"95" "1.FC Nürnberg" "Ger" "B1909 Odense" "Den" "6-0" "CUP WINNERS CUP" "Quarter Finals"
"96" "Botev Plovdiv" "Bul" "Atlético Madrid" "Esp" "1-1" "CUP WINNERS CUP" "Quarter Finals"
"97" "Botev Plovdiv" "Bul" "Atlético Madrid" "Esp" "0-4" "CUP WINNERS CUP" "Quarter Finals"
"98" "OFK Belgrade" "YUG" "Tottenham Hotspur" "Eng" "1-2" "CUP WINNERS CUP" "Semi Finals"
"99" "OFK Belgrade" "YUG" "Tottenham Hotspur" "Eng" "1-3" "CUP WINNERS CUP" "Semi Finals"
"100" "1.FC Nürnberg" "Ger" "Atlético Madrid" "Esp" "2-1" "CUP WINNERS CUP" "Semi Finals"
"101" "1.FC Nürnberg" "Ger" "Atlético Madrid" "Esp" "0-2" "CUP WINNERS CUP" "Semi Finals"
"102" "Tottenham Hotspur" "Eng" "Atlético Madrid" "Esp" "5-1" "CUP WINNERS CUP" "Final"
"103" "Valencia" "Esp" "Celtic" "Sco" "4-2" "INTER-CITIES FAIRS CUP" "Round 1"
"104" "Valencia" "Esp" "Celtic" "Sco" "2-2" "INTER-CITIES FAIRS CUP" "Round 1"
"105" "Everton" "Eng" "Dunfermline Athletic" "Sco" "1-0" "INTER-CITIES FAIRS CUP" "Round 1"
"106" "Everton" "Eng" "Dunfermline Athletic" "Sco" "0-2" "INTER-CITIES FAIRS CUP" "Round 1"
"107" "Utrecht XI" "Ned" "Tasmania Berlin" "Ger" "3-2" "INTER-CITIES FAIRS CUP" "Round 1"
"108" "Utrecht XI" "Ned" "Tasmania Berlin" "Ger" "2-1" "INTER-CITIES FAIRS CUP" "Round 1"
"109" "Hibernian" "Sco" "København XI" "Den" "4-0" "INTER-CITIES FAIRS CUP" "Round 1"
"110" "Hibernian" "Sco" "København XI" "Den" "3-2" "INTER-CITIES FAIRS CUP" "Round 1"
"111" "Rapid Wien" "Aut" "Red Star Belgrade" "YUG" "1-1" "INTER-CITIES FAIRS CUP" "Round 1"
"112" "Rapid Wien" "Aut" "Red Star Belgrade" "YUG" "0-1" "INTER-CITIES FAIRS CUP" "Round 1"
