"","home.team","home.ctry","away.team","away.ctry","match","tournament","round",""
"159","Widzew Lódz","Pol","AS Saint-Étienne","Fra","2-1","UEFA CUP","Round 1","1980"
"160","Widzew Lódz","Pol","AS Saint-Étienne","Fra","0-3","UEFA CUP","Round 1","1980"
"161","Aris Thessaloniki","Gre","Benfica","Por","3-1","UEFA CUP","Round 1","1980"
"162","Aris Thessaloniki","Gre","Benfica","Por","1-2","UEFA CUP","Round 1","1980"
"163","Carl Zeiss Jena","GDR","West Bromwich Albion","Eng","2-0","UEFA CUP","Round 1","1980"
"164","Carl Zeiss Jena","GDR","West Bromwich Albion","Eng","2-1","UEFA CUP","Round 1","1980"
"165","Atlético Madrid","Esp","Dynamo Dresden","GDR","1-2","UEFA CUP","Round 1","1980"
"166","Atlético Madrid","Esp","Dynamo Dresden","GDR","0-3","UEFA CUP","Round 1","1980"
"167","AGF Aarhus","Den","Stal Mielec","Pol","1-1","UEFA CUP","Round 1","1980"
"168","AGF Aarhus","Den","Stal Mielec","Pol","1-0","UEFA CUP","Round 1","1980"
"169","Feyenoord","Ned","Everton","Eng","1-0","UEFA CUP","Round 1","1980"
"170","Feyenoord","Ned","Everton","Eng","1-0","UEFA CUP","Round 1","1980"
"171","Skeid Oslo","Nor","Ipswich Town","Eng","1-3","UEFA CUP","Round 1","1980"
"172","Skeid Oslo","Nor","Ipswich Town","Eng","0-7","UEFA CUP","Round 1","1980"
"173","Sporting Gijón","Esp","PSV Eindhoven","Ned","0-0","UEFA CUP","Round 1","1980"
"174","Sporting Gijón","Esp","PSV Eindhoven","Ned","0-1","UEFA CUP","Round 1","1980"
"175","Galatasaray","Tur","Red Star Belgrade","YUG","0-0","UEFA CUP","Round 1","1980"
"176","Galatasaray","Tur","Red Star Belgrade","YUG","1-3","UEFA CUP","Round 1","1980"
"177","Aberdeen","Sco","Eintracht Frankfurt","Ger","1-1","UEFA CUP","Round 1","1980"
"178","Aberdeen","Sco","Eintracht Frankfurt","Ger","0-1","UEFA CUP","Round 1","1980"
"179","Rapid Wien","Aut","Diósgyöri Miskolc","Hun","0-1","UEFA CUP","Round 1","1980"
"180","Rapid Wien","Aut","Diósgyöri Miskolc","Hun","2-3","UEFA CUP","Round 1","1980"
"181","Borussia Mönchengladbach","Ger","Viking Stavanger","Nor","3-0","UEFA CUP","Round 1","1980"
"182","Borussia Mönchengladbach","Ger","Viking Stavanger","Nor","1-1","UEFA CUP","Round 1","1980"
"183","Sporting CP Lisbon","Por","Bohemians Dublin","Irl","2-0","UEFA CUP","Round 1","1980"
"184","Sporting CP Lisbon","Por","Bohemians Dublin","Irl","0-0","UEFA CUP","Round 1","1980"
"185","FC Zürich","Sui","1.FC Kaiserslautern","Ger","1-3","UEFA CUP","Round 1","1980"
"186","FC Zürich","Sui","1.FC Kaiserslautern","Ger","1-5","UEFA CUP","Round 1","1980"
"187","Shakhtar Donetsk","URS","AS Monaco","Fra","2-1","UEFA CUP","Round 1","1980"
"188","Shakhtar Donetsk","URS","AS Monaco","Fra","0-2","UEFA CUP","Round 1","1980"
"189","Progrès Niederkorn","Lux","Grasshoppers Zürich","Sui","0-2","UEFA CUP","Round 1","1980"
"190","Progrès Niederkorn","Lux","Grasshoppers Zürich","Sui","0-4","UEFA CUP","Round 1","1980"
"191","Aris Thessaloniki","Gre","Perugia","Ita","1-1","UEFA CUP","Round 2","1980"
"192","Aris Thessaloniki","Gre","Perugia","Ita","3-0","UEFA CUP","Round 2","1980"
"193","Standard Liège","Bel","Napoli","Ita","2-1","UEFA CUP","Round 2","1980"
"194","Standard Liège","Bel","Napoli","Ita","1-1","UEFA CUP","Round 2","1980"
"195","Borussia Mönchengladbach","Ger","Internazionale","Ita","1-1","UEFA CUP","Round 2","1980"
"196","Borussia Mönchengladbach","Ger","Internazionale","Ita","3-2","UEFA CUP","Round 2","1980"
"197","Dinamo Bucuresti","Rom","Eintracht Frankfurt","Ger","2-0","UEFA CUP","Round 2","1980"
"198","Dinamo Bucuresti","Rom","Eintracht Frankfurt","Ger","0-3","UEFA CUP","Round 2","1980"
"199","Universitatea Craiova","Rom","Leeds United","Eng","2-0","UEFA CUP","Round 2","1980"
"200","Universitatea Craiova","Rom","Leeds United","Eng","2-0","UEFA CUP","Round 2","1980"
"201","Zbrojovka Brno","TCH","Keflavik","Isl","3-1","UEFA CUP","Round 2","1980"
"202","Zbrojovka Brno","TCH","Keflavik","Isl","2-1","UEFA CUP","Round 2","1980"
"203","Red Star Belgrade","YUG","Carl Zeiss Jena","GDR","3-2","UEFA CUP","Round 2","1980"
"204","Red Star Belgrade","YUG","Carl Zeiss Jena","GDR","3-2","UEFA CUP","Round 2","1980"
"205","Lokomotiv Sofia","Bul","AS Monaco","Fra","4-2","UEFA CUP","Round 2","1980"
"206","Lokomotiv Sofia","Bul","AS Monaco","Fra","1-2","UEFA CUP","Round 2","1980"
"207","Dundee United","Sco","Diósgyöri Miskolc","Hun","0-1","UEFA CUP","Round 2","1980"
"208","Dundee United","Sco","Diósgyöri Miskolc","Hun","1-3","UEFA CUP","Round 2","1980"
"209","AGF Aarhus","Den","Bayern München","Ger","1-2","UEFA CUP","Round 2","1980"
"210","AGF Aarhus","Den","Bayern München","Ger","1-3","UEFA CUP","Round 2","1980"
"211","Grasshoppers Zürich","Sui","Ipswich Town","Eng","0-0","UEFA CUP","Round 2","1980"
"212","Grasshoppers Zürich","Sui","Ipswich Town","Eng","1-1","UEFA CUP","Round 2","1980"
"213","Feyenoord","Ned","Malmö FF","Swe","4-0","UEFA CUP","Round 2","1980"
"214","Feyenoord","Ned","Malmö FF","Swe","1-1","UEFA CUP","Round 2","1980"
"215","PSV Eindhoven","Ned","AS Saint-Étienne","Fra","2-0","UEFA CUP","Round 2","1980"
"216","PSV Eindhoven","Ned","AS Saint-Étienne","Fra","0-6","UEFA CUP","Round 2","1980"
"217","Sporting CP Lisbon","Por","1.FC Kaiserslautern","Ger","1-1","UEFA CUP","Round 2","1980"
"218","Sporting CP Lisbon","Por","1.FC Kaiserslautern","Ger","0-2","UEFA CUP","Round 2","1980"
"219","Dynamo Dresden","GDR","VfB Stuttgart","Ger","1-1","UEFA CUP","Round 2","1980"
"220","Dynamo Dresden","GDR","VfB Stuttgart","Ger","0-0","UEFA CUP","Round 2","1980"
"221","Baník Ostrava","TCH","Dinamo Kiev","URS","1-0","UEFA CUP","Round 2","1980"
"222","Baník Ostrava","TCH","Dinamo Kiev","URS","0-2","UEFA CUP","Round 2","1980"
"223","Bayern München","Ger","Red Star Belgrade","YUG","2-0","UEFA CUP","Round 3","1980"
"224","Bayern München","Ger","Red Star Belgrade","YUG","2-3","UEFA CUP","Round 3","1980"
"225","Grasshoppers Zürich","Sui","VfB Stuttgart","Ger","0-2","UEFA CUP","Round 3","1980"
"226","Grasshoppers Zürich","Sui","VfB Stuttgart","Ger","0-3","UEFA CUP","Round 3","1980"
"227","Borussia Mönchengladbach","Ger","Universitatea Craiova","Rom","2-0","UEFA CUP","Round 3","1980"
"228","Borussia Mönchengladbach","Ger","Universitatea Craiova","Rom","0-1","UEFA CUP","Round 3","1980"
"229","Diósgyöri Miskolc","Hun","1.FC Kaiserslautern","Ger","0-2","UEFA CUP","Round 3","1980"
"230","Diósgyöri Miskolc","Hun","1.FC Kaiserslautern","Ger","1-6","UEFA CUP","Round 3","1980"
"231","Eintracht Frankfurt","Ger","Feyenoord","Ned","4-1","UEFA CUP","Round 3","1980"
"232","Eintracht Frankfurt","Ger","Feyenoord","Ned","0-1","UEFA CUP","Round 3","1980"
"233","Standard Liège","Bel","Zbrojovka Brno","TCH","1-2","UEFA CUP","Round 3","1980"
"234","Standard Liège","Bel","Zbrojovka Brno","TCH","2-3","UEFA CUP","Round 3","1980"
"235","AS Saint-Étienne","Fra","Aris Thessaloniki","Gre","4-1","UEFA CUP","Round 3","1980"
"236","AS Saint-Étienne","Fra","Aris Thessaloniki","Gre","3-3","UEFA CUP","Round 3","1980"
"237","Lokomotiv Sofia","Bul","Dinamo Kiev","URS","1-0","UEFA CUP","Round 3","1980"
"238","Lokomotiv Sofia","Bul","Dinamo Kiev","URS","1-2","UEFA CUP","Round 3","1980"
"239","AS Saint-Étienne","Fra","Borussia Mönchengladbach","Ger","1-4","UEFA CUP","Quarter Finals","1980"
"240","AS Saint-Étienne","Fra","Borussia Mönchengladbach","Ger","0-2","UEFA CUP","Quarter Finals","1980"
"241","1.FC Kaiserslautern","Ger","Bayern München","Ger","1-0","UEFA CUP","Quarter Finals","1980"
"242","1.FC Kaiserslautern","Ger","Bayern München","Ger","1-4","UEFA CUP","Quarter Finals","1980"
"243","Eintracht Frankfurt","Ger","Zbrojovka Brno","TCH","4-1","UEFA CUP","Quarter Finals","1980"
"244","Eintracht Frankfurt","Ger","Zbrojovka Brno","TCH","2-3","UEFA CUP","Quarter Finals","1980"
"245","VfB Stuttgart","Ger","Lokomotiv Sofia","Bul","3-1","UEFA CUP","Quarter Finals","1980"
"246","VfB Stuttgart","Ger","Lokomotiv Sofia","Bul","1-0","UEFA CUP","Quarter Finals","1980"
"247","VfB Stuttgart","Ger","Borussia Mönchengladbach","Ger","2-1","UEFA CUP","Semi Finals","1980"
"248","VfB Stuttgart","Ger","Borussia Mönchengladbach","Ger","0-2","UEFA CUP","Semi Finals","1980"
"249","Bayern München","Ger","Eintracht Frankfurt","Ger","2-0","UEFA CUP","Semi Finals","1980"
"250","Bayern München","Ger","Eintracht Frankfurt","Ger","1-5","UEFA CUP","Semi Finals","1980"
"251","Borussia Mönchengladbach","Ger","Eintracht Frankfurt","Ger","3-2","UEFA CUP","Final","1980"
"252","Borussia Mönchengladbach","Ger","Eintracht Frankfurt","Ger","0-1","UEFA CUP","Final","1980"
