"","home.team","home.ctry","away.team","away.ctry","match","tournament","round",""
"1","Dundalk","Irl","Linfield Belfast","Nir","1-1","CHAMPIONS CUP","Qualifying Round","1980"
"2","Dundalk","Irl","Linfield Belfast","Nir","2-0","CHAMPIONS CUP","Qualifying Round","1980"
"3","Liverpool","Eng","Dinamo Tbilisi","URS","2-1","CHAMPIONS CUP","Round 1","1980"
"4","Liverpool","Eng","Dinamo Tbilisi","URS","0-3","CHAMPIONS CUP","Round 1","1980"
"5","Nottingham Forest","Eng","�sters IF","Swe","2-0","CHAMPIONS CUP","Round 1","1980"
"6","Nottingham Forest","Eng","�sters IF","Swe","1-1","CHAMPIONS CUP","Round 1","1980"
"7","Partizani Tirana","Alb","Celtic","Sco","1-0","CHAMPIONS CUP","Round 1","1980"
"8","Partizani Tirana","Alb","Celtic","Sco","1-4","CHAMPIONS CUP","Round 1","1980"
"9","Dundalk","Irl","Hibernians FC","Mlt","2-0","CHAMPIONS CUP","Round 1","1980"
"10","Dundalk","Irl","Hibernians FC","Mlt","0-1","CHAMPIONS CUP","Round 1","1980"
"11","Levski-Spartak Sofia","Bul","Real Madrid","Esp","0-1","CHAMPIONS CUP","Round 1","1980"
"12","Levski-Spartak Sofia","Bul","Real Madrid","Esp","0-2","CHAMPIONS CUP","Round 1","1980"
"13","Arges Pitesti","Rom","AEK Athens","Gre","3-0","CHAMPIONS CUP","Round 1","1980"
"14","Arges Pitesti","Rom","AEK Athens","Gre","0-2","CHAMPIONS CUP","Round 1","1980"
"15","Start Kristiansand","Nor","RC Strasbourg","Fra","1-2","CHAMPIONS CUP","Round 1","1980"
"16","Start Kristiansand","Nor","RC Strasbourg","Fra","0-4","CHAMPIONS CUP","Round 1","1980"
"17","BFC Dynamo Berlin","GDR","Ruch Chorzow","Pol","4-1","CHAMPIONS CUP","Round 1","1980"
"18","BFC Dynamo Berlin","GDR","Ruch Chorzow","Pol","0-0","CHAMPIONS CUP","Round 1","1980"
"19","Újpest Dózsa","Hun","Dukla Praha","TCH","3-2","CHAMPIONS CUP","Round 1","1980"
"20","Újpest Dózsa","Hun","Dukla Praha","TCH","0-2","CHAMPIONS CUP","Round 1","1980"
"21","Red Boys Differdange","Lux","Omonia Nicosia","Cyp","2-1","CHAMPIONS CUP","Round 1","1980"
"22","Red Boys Differdange","Lux","Omonia Nicosia","Cyp","1-6","CHAMPIONS CUP","Round 1","1980"
"23","HJK Helsinki","Fin","Ajax","Ned","1-8","CHAMPIONS CUP","Round 1","1980"
"24","HJK Helsinki","Fin","Ajax","Ned","1-8","CHAMPIONS CUP","Round 1","1980"
"25","Valur Reykjavik","Isl","Hamburger SV","Ger","0-3","CHAMPIONS CUP","Round 1","1980"
"26","Valur Reykjavik","Isl","Hamburger SV","Ger","1-2","CHAMPIONS CUP","Round 1","1980"
"27","Hajduk Split","YUG","Trabzonspor","Tur","1-0","CHAMPIONS CUP","Round 1","1980"
"28","Hajduk Split","YUG","Trabzonspor","Tur","1-0","CHAMPIONS CUP","Round 1","1980"
"29","Vejle BK","Den","Austria Wien","Aut","3-2","CHAMPIONS CUP","Round 1","1980"
"30","Vejle BK","Den","Austria Wien","Aut","1-1","CHAMPIONS CUP","Round 1","1980"
"31","FC Porto","Por","AC Milan","Ita","0-0","CHAMPIONS CUP","Round 1","1980"
"32","FC Porto","Por","AC Milan","Ita","1-0","CHAMPIONS CUP","Round 1","1980"
"33","Servette FC Genève","Sui","SK Beveren","Bel","3-1","CHAMPIONS CUP","Round 1","1980"
"34","Servette FC Genève","Sui","SK Beveren","Bel","1-1","CHAMPIONS CUP","Round 1","1980"
"35","Nottingham Forest","Eng","Arges Pitesti","Rom","2-0","CHAMPIONS CUP","Round 2","1980"
"36","Nottingham Forest","Eng","Arges Pitesti","Rom","2-1","CHAMPIONS CUP","Round 2","1980"
"37","Celtic","Sco","Dundalk","Irl","3-2","CHAMPIONS CUP","Round 2","1980"
"38","Celtic","Sco","Dundalk","Irl","0-0","CHAMPIONS CUP","Round 2","1980"
"39","BFC Dynamo Berlin","GDR","Servette FC Genève","Sui","2-1","CHAMPIONS CUP","Round 2","1980"
"40","BFC Dynamo Berlin","GDR","Servette FC Genève","Sui","2-2","CHAMPIONS CUP","Round 2","1980"
"41","Dukla Praha","TCH","RC Strasbourg","Fra","1-0","CHAMPIONS CUP","Round 2","1980"
"42","Dukla Praha","TCH","RC Strasbourg","Fra","0-2","CHAMPIONS CUP","Round 2","1980"
"43","Hamburger SV","Ger","Dinamo Tbilisi","URS","3-1","CHAMPIONS CUP","Round 2","1980"
"44","Hamburger SV","Ger","Dinamo Tbilisi","URS","3-2","CHAMPIONS CUP","Round 2","1980"
"45","Vejle BK","Den","Hajduk Split","YUG","0-3","CHAMPIONS CUP","Round 2","1980"
"46","Vejle BK","Den","Hajduk Split","YUG","2-1","CHAMPIONS CUP","Round 2","1980"
"47","Ajax","Ned","Omonia Nicosia","Cyp","10-0","CHAMPIONS CUP","Round 2","1980"
"48","Ajax","Ned","Omonia Nicosia","Cyp","0-4","CHAMPIONS CUP","Round 2","1980"
"49","FC Porto","Por","Real Madrid","Esp","2-1","CHAMPIONS CUP","Round 2","1980"
"50","FC Porto","Por","Real Madrid","Esp","0-1","CHAMPIONS CUP","Round 2","1980"
"51","Nottingham Forest","Eng","BFC Dynamo Berlin","GDR","0-1","CHAMPIONS CUP","Quarter Finals","1980"
"52","Nottingham Forest","Eng","BFC Dynamo Berlin","GDR","3-1","CHAMPIONS CUP","Quarter Finals","1980"
"53","Celtic","Sco","Real Madrid","Esp","2-0","CHAMPIONS CUP","Quarter Finals","1980"
"54","Celtic","Sco","Real Madrid","Esp","0-3","CHAMPIONS CUP","Quarter Finals","1980"
"55","Hamburger SV","Ger","Hajduk Split","YUG","1-0","CHAMPIONS CUP","Quarter Finals","1980"
"56","Hamburger SV","Ger","Hajduk Split","YUG","2-3","CHAMPIONS CUP","Quarter Finals","1980"
"57","RC Strasbourg","Fra","Ajax","Ned","0-0","CHAMPIONS CUP","Quarter Finals","1980"
"58","RC Strasbourg","Fra","Ajax","Ned","0-4","CHAMPIONS CUP","Quarter Finals","1980"
"59","Nottingham Forest","Eng","Ajax","Ned","2-0","CHAMPIONS CUP","Semi Finals","1980"
"60","Nottingham Forest","Eng","Ajax","Ned","0-1","CHAMPIONS CUP","Semi Finals","1980"
"61","Real Madrid","Esp","Hamburger SV","Ger","2-0","CHAMPIONS CUP","Semi Finals","1980"
"62","Real Madrid","Esp","Hamburger SV","Ger","1-5","CHAMPIONS CUP","Semi Finals","1980"
"63","Nottingham Forest","Eng","Hamburger SV","Ger","1-0","CHAMPIONS CUP","Final","1980"
"64","Glasgow Rangers","Sco","Lillestrøm SK","Nor","1-0","CUP WINNERS CUP","Qualifying Round","1980"
"65","Glasgow Rangers","Sco","Lillestrøm SK","Nor","2-0","CUP WINNERS CUP","Qualifying Round","1980"
"66","B1903 København","Den","APOEL Nicosia","Cyp","6-0","CUP WINNERS CUP","Qualifying Round","1980"
"67","B1903 København","Den","APOEL Nicosia","Cyp","1-0","CUP WINNERS CUP","Qualifying Round","1980"
"68","Juventus","Ita","ETO Györ","Hun","2-0","CUP WINNERS CUP","Round 1","1980"
"69","Juventus","Ita","ETO Györ","Hun","1-2","CUP WINNERS CUP","Round 1","1980"
"70","Reipas Lahti","Fin","Aris Bonnevoie","Lux","0-1","CUP WINNERS CUP","Round 1","1980"
"71","Reipas Lahti","Fin","Aris Bonnevoie","Lux","0-1","CUP WINNERS CUP","Round 1","1980"
"72","Arka Gdynia","Pol","FC Beroe Stara Zagora","Bul","3-2","CUP WINNERS CUP","Round 1","1980"
"73","Arka Gdynia","Pol","FC Beroe Stara Zagora","Bul","0-2","CUP WINNERS CUP","Round 1","1980"
"74","Panionios","Gre","FC Twente Enschede","Ned","4-0","CUP WINNERS CUP","Round 1","1980"
"75","Panionios","Gre","FC Twente Enschede","Ned","1-3","CUP WINNERS CUP","Round 1","1980"
"76","Wacker Innsbruck","Aut","Lokomotiva Kosice","TCH","1-2","CUP WINNERS CUP","Round 1","1980"
"77","Wacker Innsbruck","Aut","Lokomotiva Kosice","TCH","0-1","CUP WINNERS CUP","Round 1","1980"
"78","Glasgow Rangers","Sco","Fortuna Düsseldorf","Ger","2-1","CUP WINNERS CUP","Round 1","1980"
"79","Glasgow Rangers","Sco","Fortuna Düsseldorf","Ger","0-0","CUP WINNERS CUP","Round 1","1980"
"80","Arsenal","Eng","Fenerbahçe","Tur","2-0","CUP WINNERS CUP","Round 1","1980"
"81","Arsenal","Eng","Fenerbahçe","Tur","0-0","CUP WINNERS CUP","Round 1","1980"
"82","B1903 København","Den","Valencia","Esp","2-2","CUP WINNERS CUP","Round 1","1980"
"83","B1903 København","Den","Valencia","Esp","0-4","CUP WINNERS CUP","Round 1","1980"
"84","Wrexham","Wal","1.FC Magdeburg","GDR","3-2","CUP WINNERS CUP","Round 1","1980"
"85","Wrexham","Wal","1.FC Magdeburg","GDR","2-5","CUP WINNERS CUP","Round 1","1980"
"86","IFK Göteborg","Swe","Waterford","Irl","1-0","CUP WINNERS CUP","Round 1","1980"
"87","IFK Göteborg","Swe","Waterford","Irl","1-1","CUP WINNERS CUP","Round 1","1980"
"88","Beerschot VAV","Bel","NK Rijeka","YUG","0-0","CUP WINNERS CUP","Round 1","1980"
"89","Beerschot VAV","Bel","NK Rijeka","YUG","1-2","CUP WINNERS CUP","Round 1","1980"
"90","Young Boys","Sui","Steaua Bucuresti","Rom","2-2","CUP WINNERS CUP","Round 1","1980"
"91","Young Boys","Sui","Steaua Bucuresti","Rom","0-6","CUP WINNERS CUP","Round 1","1980"
"92","Sliema Wanderers","Mlt","Boavista","Por","2-1","CUP WINNERS CUP","Round 1","1980"
"93","Sliema Wanderers","Mlt","Boavista","Por","0-8","CUP WINNERS CUP","Round 1","1980"
"94","Cliftonville","Nir","FC Nantes","Fra","0-1","CUP WINNERS CUP","Round 1","1980"
"95","Cliftonville","Nir","FC Nantes","Fra","0-7","CUP WINNERS CUP","Round 1","1980"
"96","IA Akranes","Isl","FC Barcelona","Esp","0-1","CUP WINNERS CUP","Round 1","1980"
"97","IA Akranes","Isl","FC Barcelona","Esp","0-5","CUP WINNERS CUP","Round 1","1980"
"98","FC Beroe Stara Zagora","Bul","Juventus","Ita","1-0","CUP WINNERS CUP","Round 2","1980"
"99","FC Beroe Stara Zagora","Bul","Juventus","Ita","0-3","CUP WINNERS CUP","Round 2","1980"
"100","Panionios","Gre","IFK Göteborg","Swe","1-0","CUP WINNERS CUP","Round 2","1980"
"101","Panionios","Gre","IFK Göteborg","Swe","0-2","CUP WINNERS CUP","Round 2","1980"
"102","Lokomotiva Kosice","TCH","NK Rijeka","YUG","2-0","CUP WINNERS CUP","Round 2","1980"
"103","Lokomotiva Kosice","TCH","NK Rijeka","YUG","0-3","CUP WINNERS CUP","Round 2","1980"
"104","Valencia","Esp","Glasgow Rangers","Sco","1-1","CUP WINNERS CUP","Round 2","1980"
"105","Valencia","Esp","Glasgow Rangers","Sco","3-1","CUP WINNERS CUP","Round 2","1980"
"106","FC Nantes","Fra","Steaua Bucuresti","Rom","3-2","CUP WINNERS CUP","Round 2","1980"
"107","FC Nantes","Fra","Steaua Bucuresti","Rom","2-1","CUP WINNERS CUP","Round 2","1980"
"108","Arsenal","Eng","1.FC Magdeburg","GDR","2-1","CUP WINNERS CUP","Round 2","1980"
"109","Arsenal","Eng","1.FC Magdeburg","GDR","2-2","CUP WINNERS CUP","Round 2","1980"
"110","Aris Bonnevoie","Lux","FC Barcelona","Esp","1-4","CUP WINNERS CUP","Round 2","1980"
"111","Aris Bonnevoie","Lux","FC Barcelona","Esp","1-7","CUP WINNERS CUP","Round 2","1980"
"112","Dinamo Moscow","URS","Boavista","Por","0-0","CUP WINNERS CUP","Round 2","1980"
"113","Dinamo Moscow","URS","Boavista","Por","1-1","CUP WINNERS CUP","Round 2","1980"
"114","NK Rijeka","YUG","Juventus","Ita","0-0","CUP WINNERS CUP","Quarter Finals","1980"
"115","NK Rijeka","YUG","Juventus","Ita","0-2","CUP WINNERS CUP","Quarter Finals","1980"
"116","Arsenal","Eng","IFK Göteborg","Swe","5-1","CUP WINNERS CUP","Quarter Finals","1980"
"117","Arsenal","Eng","IFK Göteborg","Swe","0-0","CUP WINNERS CUP","Quarter Finals","1980"
"118","FC Barcelona","Esp","Valencia","Esp","0-1","CUP WINNERS CUP","Quarter Finals","1980"
"119","FC Barcelona","Esp","Valencia","Esp","3-4","CUP WINNERS CUP","Quarter Finals","1980"
"120","Dinamo Moscow","URS","FC Nantes","Fra","0-2","CUP WINNERS CUP","Quarter Finals","1980"
"121","Dinamo Moscow","URS","FC Nantes","Fra","3-2","CUP WINNERS CUP","Quarter Finals","1980"
"122","Arsenal","Eng","Juventus","Ita","1-1","CUP WINNERS CUP","Semi Finals","1980"
"123","Arsenal","Eng","Juventus","Ita","1-0","CUP WINNERS CUP","Semi Finals","1980"
"124","FC Nantes","Fra","Valencia","Esp","2-1","CUP WINNERS CUP","Semi Finals","1980"
"125","FC Nantes","Fra","Valencia","Esp","0-4","CUP WINNERS CUP","Semi Finals","1980"
"126","Valencia","Esp","Arsenal","Eng","0-0","CUP WINNERS CUP","Final","1980"
"127","Perugia","Ita","Dinamo Zagreb","YUG","1-0","UEFA CUP","Round 1","1980"
"128","Perugia","Ita","Dinamo Zagreb","YUG","0-0","UEFA CUP","Round 1","1980"
"129","Internazionale","Ita","Real Sociedad","Esp","3-0","UEFA CUP","Round 1","1980"
"130","Internazionale","Ita","Real Sociedad","Esp","0-2","UEFA CUP","Round 1","1980"
"131","Napoli","Ita","Olympiakos Piraeus","Gre","2-0","UEFA CUP","Round 1","1980"
"132","Napoli","Ita","Olympiakos Piraeus","Gre","0-1","UEFA CUP","Round 1","1980"
"133","VfB Stuttgart","Ger","Torino","Ita","1-0","UEFA CUP","Round 1","1980"
"134","VfB Stuttgart","Ger","Torino","Ita","1-2","UEFA CUP","Round 1","1980"
"135","Dundee United","Sco","Anderlecht","Bel","0-0","UEFA CUP","Round 1","1980"
"136","Dundee United","Sco","Anderlecht","Bel","1-1","UEFA CUP","Round 1","1980"
"137","Glenavon","Nir","Standard Liège","Bel","0-1","UEFA CUP","Round 1","1980"
"138","Glenavon","Nir","Standard Liège","Bel","0-1","UEFA CUP","Round 1","1980"
"139","Dinamo Kiev","URS","CSKA Sofia","Bul","2-1","UEFA CUP","Round 1","1980"
"140","Dinamo Kiev","URS","CSKA Sofia","Bul","1-1","UEFA CUP","Round 1","1980"
"141","Lokomotiv Sofia","Bul","Ferencváros","Hun","3-0","UEFA CUP","Round 1","1980"
"142","Lokomotiv Sofia","Bul","Ferencváros","Hun","0-2","UEFA CUP","Round 1","1980"
"143","Kalmar FF","Swe","Keflavik","Isl","2-1","UEFA CUP","Round 1","1980"
"144","Kalmar FF","Swe","Keflavik","Isl","0-1","UEFA CUP","Round 1","1980"
"145","Koparit Kuopio","Fin","Malmö FF","Swe","1-2","UEFA CUP","Round 1","1980"
"146","Koparit Kuopio","Fin","Malmö FF","Swe","0-2","UEFA CUP","Round 1","1980"
"147","Dinamo Bucuresti","Rom","Alki Larnaca","Cyp","3-0","UEFA CUP","Round 1","1980"
"148","Dinamo Bucuresti","Rom","Alki Larnaca","Cyp","9-0","UEFA CUP","Round 1","1980"
"149","Bohemians Praha","TCH","Bayern München","Ger","0-2","UEFA CUP","Round 1","1980"
"150","Bohemians Praha","TCH","Bayern München","Ger","2-2","UEFA CUP","Round 1","1980"
"151","Zbrojovka Brno","TCH","Esbjerg fB","Den","6-0","UEFA CUP","Round 1","1980"
"152","Zbrojovka Brno","TCH","Esbjerg fB","Den","1-1","UEFA CUP","Round 1","1980"
"153","Valletta FC","Mlt","Leeds United","Eng","0-4","UEFA CUP","Round 1","1980"
"154","Valletta FC","Mlt","Leeds United","Eng","0-3","UEFA CUP","Round 1","1980"
"155","Orduspor","Tur","Baník Ostrava","TCH","2-0","UEFA CUP","Round 1","1980"
"156","Orduspor","Tur","Baník Ostrava","TCH","0-6","UEFA CUP","Round 1","1980"
"157","Wiener Sportklub","Aut","Universitatea Craiova","Rom","0-0","UEFA CUP","Round 1","1980"
"158","Wiener Sportklub","Aut","Universitatea Craiova","Rom","1-3","UEFA CUP","Round 1","1980"
