"home.team" "home.ctry" "away.team" "away.ctry" "match" "tournament" "round"
"1" "Sliema Wanderers" "Mlt" "Dinamo Bucuresti" "Rom" "0-2" "CHAMPIONS CUP" "Round 1"
"2" "Sliema Wanderers" "Mlt" "Dinamo Bucuresti" "Rom" "0-5" "CHAMPIONS CUP" "Round 1"
"3" "Glasgow Rangers" "Sco" "Red Star Belgrade" "YUG" "3-1" "CHAMPIONS CUP" "Round 1"
"4" "Glasgow Rangers" "Sco" "Red Star Belgrade" "YUG" "2-4" "CHAMPIONS CUP" "Round 1"
"5" "Rapid Wien" "Aut" "Shamrock Rovers" "Irl" "3-0" "CHAMPIONS CUP" "Round 1"
"6" "Rapid Wien" "Aut" "Shamrock Rovers" "Irl" "2-0" "CHAMPIONS CUP" "Round 1"
"7" "Glentoran" "Nir" "Panathinaikos" "Gre" "2-2" "CHAMPIONS CUP" "Round 1"
"8" "Glentoran" "Nir" "Panathinaikos" "Gre" "2-3" "CHAMPIONS CUP" "Round 1"
"9" "Partizani Tirana" "Alb" "1.FC K�ln" "Ger" "0-0" "CHAMPIONS CUP" "Round 1"
"10" "Partizani Tirana" "Alb" "1.FC K�ln" "Ger" "0-2" "CHAMPIONS CUP" "Round 1"
"11" "Anderlecht" "Bel" "Bologna" "Ita" "1-0" "CHAMPIONS CUP" "Round 1"
"12" "Anderlecht" "Bel" "Bologna" "Ita" "1-2" "CHAMPIONS CUP" "Round 1"
"13" "KR Reykjavik" "Isl" "Liverpool" "Eng" "0-5" "CHAMPIONS CUP" "Round 1"
"14" "KR Reykjavik" "Isl" "Liverpool" "Eng" "1-6" "CHAMPIONS CUP" "Round 1"
"15" "Chemie Leipzig" "GDR" "ETO Györ" "Hun" "0-2" "CHAMPIONS CUP" "Round 1"
"16" "Chemie Leipzig" "GDR" "ETO Györ" "Hun" "2-4" "CHAMPIONS CUP" "Round 1"
"17" "Lokomotiv Sofia" "Bul" "Malmö FF" "Swe" "8-3" "CHAMPIONS CUP" "Round 1"
"18" "Lokomotiv Sofia" "Bul" "Malmö FF" "Swe" "0-2" "CHAMPIONS CUP" "Round 1"
"19" "DWS Amsterdam" "Ned" "Fenerbahçe" "Tur" "3-1" "CHAMPIONS CUP" "Round 1"
"20" "DWS Amsterdam" "Ned" "Fenerbahçe" "Tur" "1-0" "CHAMPIONS CUP" "Round 1"
"21" "Reipas Lahti" "Fin" "Lyn Oslo" "Nor" "2-1" "CHAMPIONS CUP" "Round 1"
"22" "Reipas Lahti" "Fin" "Lyn Oslo" "Nor" "0-3" "CHAMPIONS CUP" "Round 1"
"23" "B1909 Odense" "Den" "Real Madrid" "Esp" "2-5" "CHAMPIONS CUP" "Round 1"
"24" "B1909 Odense" "Den" "Real Madrid" "Esp" "0-4" "CHAMPIONS CUP" "Round 1"
"25" "Dukla Praha" "TCH" "Górnik Zabrze" "Pol" "4-1" "CHAMPIONS CUP" "Round 1"
"26" "Dukla Praha" "TCH" "Górnik Zabrze" "Pol" "0-3" "CHAMPIONS CUP" "Round 1"
"27" "AS Saint-Étienne" "Fra" "La Chaux-de-Fonds" "Sui" "2-2" "CHAMPIONS CUP" "Round 1"
"28" "AS Saint-Étienne" "Fra" "La Chaux-de-Fonds" "Sui" "1-2" "CHAMPIONS CUP" "Round 1"
"29" "Aris Bonnevoie" "Lux" "Benfica" "Por" "1-5" "CHAMPIONS CUP" "Round 1"
"30" "Aris Bonnevoie" "Lux" "Benfica" "Por" "1-5" "CHAMPIONS CUP" "Round 1"
"31" "Internazionale" "Ita" "Dinamo Bucuresti" "Rom" "6-0" "CHAMPIONS CUP" "Round 2"
"32" "Internazionale" "Ita" "Dinamo Bucuresti" "Rom" "1-0" "CHAMPIONS CUP" "Round 2"
"33" "Glasgow Rangers" "Sco" "Rapid Wien" "Aut" "1-0" "CHAMPIONS CUP" "Round 2"
